Category,Airports & Transit Centers,Bars,Beauty & Wellness,Grocery,Mass Merch,Parks & Beaches,QSR,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-05-21,33,70,80,96,0,65,73,8,100,76,250
2020-05-20,32,79,79,104,121,72,72,15,118,75,100
2020-05-19,27,48,71,81,97,60,64,54,109,69,150
2020-05-18,30,79,70,73,116,61,67,23,100,72,100
2020-05-17,19,27,56,68,87,13,52,8,45,48,150
2020-05-16,26,61,76,85,118,39,98,38,82,90,150
2020-05-15,33,52,85,86,129,74,72,15,164,83,50
2020-05-14,19,48,60,83,0,59,62,31,109,71,250
2020-05-13,22,58,67,79,132,70,72,23,155,75,150
2020-05-12,26,36,56,88,95,54,53,38,145,64,250
2020-05-11,27,48,58,62,74,47,56,8,91,65,150
2020-05-10,18,27,42,96,45,17,43,46,36,51,50
2020-05-09,24,42,74,115,97,25,72,15,55,88,50
2020-05-08,35,64,93,91,111,65,78,31,91,92,100
2020-05-07,25,61,54,63,0,59,56,31,27,64,0
2020-05-06,27,67,65,81,100,60,69,31,73,70,50
2020-05-05,25,39,59,67,116,55,63,62,36,56,100
2020-05-04,24,70,62,78,242,48,74,38,55,78,100
2020-05-03,19,39,52,72,147,24,60,23,36,75,50
2020-05-02,25,39,59,72,195,29,78,31,82,107,100
2020-05-01,37,73,88,92,168,92,85,46,82,91,100
2020-04-30,27,33,54,65,0,57,80,46,91,83,150
2020-04-29,22,33,57,54,142,31,67,8,55,46,250
2020-04-28,30,48,64,78,155,44,92,23,118,86,100
2020-04-27,25,58,65,83,118,45,72,15,55,72,100
2020-04-26,19,52,55,68,76,20,65,8,45,59,50
2020-04-25,23,45,57,79,76,20,64,31,64,57,0
2020-04-24,27,55,70,74,103,39,76,54,82,83,0
2020-04-23,31,42,57,74,0,42,64,15,45,72,100
2020-04-22,34,36,59,72,111,40,69,38,55,61,50
2020-04-21,27,30,57,76,137,50,63,31,55,64,100
2020-04-20,27,58,66,54,111,73,62,31,118,71,200
2020-04-19,21,36,48,60,129,25,40,62,73,52,100
2020-04-18,26,52,64,63,158,29,77,69,45,92,50
2020-04-17,22,70,71,68,121,58,71,15,64,70,100
2020-04-16,28,79,54,64,0,58,60,15,73,70,150
2020-04-15,22,39,63,42,134,49,54,23,64,60,50
2020-04-14,23,45,61,55,116,51,50,46,64,69,0
2020-04-13,25,30,60,45,89,54,53,31,64,61,50
2020-04-12,18,42,55,87,37,21,45,46,45,47,0
2020-04-11,30,52,67,85,97,22,68,62,91,67,100
2020-04-10,31,73,80,82,137,58,79,46,91,80,100
2020-04-09,29,27,61,71,0,60,55,23,73,67,150
2020-04-08,27,48,68,83,124,65,49,31,100,64,150
2020-04-07,35,36,70,97,147,71,69,31,64,82,50
2020-04-06,26,48,51,83,124,52,55,31,27,66,50
2020-04-05,19,24,46,82,113,19,53,46,36,46,250
2020-04-04,23,45,59,97,126,25,58,23,64,61,50
2020-04-03,39,67,91,103,111,69,72,46,73,78,100
2020-04-02,36,58,71,90,0,61,61,69,73,69,200
2020-04-01,28,55,75,101,134,67,68,15,73,83,100
2020-03-31,30,27,68,85,84,63,54,38,55,46,100
2020-03-30,27,70,74,96,111,61,65,77,73,64,50
2020-03-29,24,24,41,67,61,26,41,23,73,46,150
2020-03-28,21,48,54,65,153,38,53,0,64,45,50
2020-03-27,28,30,58,82,150,74,49,46,27,57,100
2020-03-26,24,55,64,63,0,60,59,38,45,65,50
2020-03-25,32,45,66,88,89,77,73,31,55,64,100
2020-03-24,36,45,63,71,105,66,52,23,118,61,0
2020-03-23,30,42,51,76,79,57,55,31,45,52,50
2020-03-22,22,24,33,73,97,23,36,46,55,41,50
2020-03-21,14,24,59,100,92,17,48,15,55,68,300
2020-03-20,33,30,78,100,121,50,60,62,91,73,200
2020-03-19,44,30,84,105,0,60,55,54,82,70,150
2020-03-18,54,88,80,103,145,69,57,69,73,78,250
2020-03-17,54,70,101,92,129,82,64,38,91,86,450
2020-03-16,76,48,95,131,166,96,73,77,118,96,50
2020-03-15,40,70,85,99,195,39,84,77,73,88,100
2020-03-14,46,100,123,104,216,40,96,215,82,152,150
2020-03-13,105,94,135,104,192,144,124,169,155,142,50
2020-03-12,127,133,119,99,0,140,114,92,136,116,100
2020-03-11,112,118,100,114,153,142,87,46,136,96,100
2020-03-10,118,103,113,90,137,140,100,115,100,102,250
2020-03-09,121,79,95,86,142,151,93,62,64,95,150
2020-03-08,60,85,98,114,150,35,94,77,82,109,150
2020-03-07,63,103,138,95,132,41,111,223,55,152,50
2020-03-06,124,139,119,81,111,158,136,123,155,141,100
2020-03-05,138,106,112,90,0,164,106,131,200,125,200
2020-03-04,133,130,122,92,150,144,116,100,127,121,100
2020-03-03,140,152,123,90,166,165,115,146,127,107,150
2020-03-02,131,100,113,82,129,127,122,100,82,116,50
2020-03-01,61,121,116,113,129,50,116,177,91,128,50
2020-02-29,65,103,133,83,134,36,128,277,91,145,0
2020-02-28,136,127,150,105,142,158,139,185,118,146,50
2020-02-27,146,106,112,83,0,136,128,146,82,134,100
2020-02-26,124,67,106,95,126,119,126,100,118,123,50
2020-02-25,134,115,90,77,105,133,112,131,91,114,100
2020-02-24,127,82,102,90,92,117,117,123,100,101,100
2020-02-23,59,115,81,95,108,26,86,92,64,92,150
2020-02-22,70,112,129,88,89,33,115,269,64,130,100
2020-02-21,147,118,132,100,108,149,119,185,91,130,0
2020-02-20,136,94,110,97,0,135,114,46,164,98,100
2020-02-19,131,76,90,81,92,121,101,77,191,78,150
2020-02-18,117,100,91,90,92,121,95,31,145,86,100
2020-02-17,91,94,85,100,132,95,92,23,109,86,150
2020-02-16,54,85,81,87,87,28,88,38,55,87,100
2020-02-15,68,55,100,85,63,35,96,54,73,109,50
2020-02-14,121,70,140,92,100,123,108,69,182,114,0
2020-02-13,127,136,104,95,0,110,107,77,145,96,50
2020-02-12,134,76,123,90,92,122,94,38,109,85,100
2020-02-11,134,103,112,90,89,130,91,85,118,99,100
2020-02-10,118,109,90,103,121,110,101,108,136,101,250
2020-02-09,40,24,84,78,111,21,78,85,82,59,50
2020-02-08,64,67,115,97,116,32,112,100,91,108,50
2020-02-07,123,88,142,118,103,138,109,131,164,96,0
2020-02-06,117,91,102,91,0,114,98,115,155,80,100
2020-02-05,139,100,114,128,113,130,96,69,200,88,150
2020-02-04,128,124,103,144,87,121,110,69,100,94,50
2020-02-03,129,136,105,119,105,107,105,115,136,85,0
2020-02-02,62,85,81,108,124,38,89,146,91,90,0
