Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-03-13,101,60,84,125,87,67,100,80,130,158
2020-03-12,113,78,97,170,119,97,137,60,161,196
2020-03-11,124,79,118,182,110,163,129,80,172,202
2020-03-10,121,81,124,185,128,145,144,120,171,205
2020-03-09,112,80,112,163,119,142,141,160,168,204
2020-03-08,52,36,20,81,18,17,23,20,57,31
2020-03-07,80,118,36,135,43,50,46,60,84,48
2020-03-06,121,73,109,158,166,102,128,120,170,211
2020-03-05,136,75,116,175,126,155,150,140,185,224
2020-03-04,141,61,134,167,140,144,139,60,184,228
2020-03-03,135,160,153,167,162,139,162,160,178,259
2020-03-02,137,168,147,143,129,136,155,80,163,243
2020-03-01,58,93,12,55,37,27,33,20,52,57
2020-02-29,81,206,28,71,28,44,39,20,67,78
2020-02-28,123,150,147,158,140,91,143,140,161,249
2020-02-27,122,183,163,166,128,158,158,160,173,271
2020-02-26,140,153,127,145,129,159,125,80,158,247
2020-02-25,163,173,167,174,141,166,153,100,180,272
2020-02-24,138,161,149,159,149,127,150,180,171,245
2020-02-23,53,75,12,56,15,27,22,20,50,53
2020-02-22,73,148,22,85,28,39,50,20,70,83
2020-02-21,132,165,130,150,134,114,112,160,168,252
2020-02-20,141,174,165,162,119,161,135,120,179,271
2020-02-19,141,178,149,172,141,164,127,100,177,265
2020-02-18,136,151,140,163,151,153,135,200,167,251
2020-02-17,109,124,57,91,62,122,99,60,115,150
2020-02-16,51,99,11,47,22,31,26,40,66,69
2020-02-15,73,170,19,65,43,45,32,0,83,98
2020-02-14,108,165,99,88,128,117,112,100,168,230
2020-02-13,144,198,109,100,125,147,138,100,177,257
2020-02-12,134,184,132,110,146,184,135,160,186,273
2020-02-11,152,159,141,83,140,170,156,60,164,234
2020-02-10,143,98,130,76,134,152,120,120,124,141
2020-02-09,53,14,13,24,22,17,19,0,24,5
2020-02-08,68,18,24,42,22,38,39,20,36,9
2020-02-07,134,0,131,104,122,80,134,100,100,62
2020-02-06,144,0,143,126,154,141,136,20,104,62
2020-02-05,127,0,136,127,121,155,135,140,107,65
2020-02-04,134,0,133,114,121,127,137,140,103,63
2020-02-03,139,0,142,110,137,148,128,160,101,54
2020-02-02,57,4,15,25,21,23,22,0,22,2
2020-02-01,67,14,18,43,25,38,31,40,30,7
2020-01-31,119,0,132,98,122,100,120,140,91,57
2020-01-30,125,0,120,115,166,153,150,120,103,62
2020-01-29,124,0,142,123,132,169,145,180,105,64
2020-01-28,131,0,121,132,153,148,127,200,106,62
2020-01-27,121,0,130,109,156,133,140,80,102,52
2020-01-26,42,1,7,33,15,19,18,40,21,2
2020-01-25,61,24,20,36,29,28,31,20,29,7
2020-01-24,111,0,116,96,124,97,107,0,92,57
2020-01-23,96,0,136,109,115,117,131,160,96,54
2020-01-22,97,0,122,111,131,136,112,160,101,52
2020-01-21,103,0,146,127,157,163,144,140,104,58
2020-01-20,64,0,61,41,46,45,65,200,51,29
2020-01-19,31,5,19,25,26,13,19,20,22,2
2020-01-18,67,9,28,39,25,20,44,0,33,9
2020-01-17,92,0,115,104,140,159,111,100,96,53
2020-01-16,116,0,164,118,126,164,141,220,108,62
2020-01-15,117,0,161,134,113,183,139,80,110,61
2020-01-14,103,0,168,124,135,138,138,120,105,55
2020-01-13,104,0,181,123,138,166,108,160,104,52
2020-01-12,30,1,10,20,16,20,21,0,19,1
2020-01-11,44,11,25,26,24,20,28,20,25,6
2020-01-10,103,0,159,118,151,120,140,260,98,56
2020-01-09,95,0,168,132,162,128,133,280,99,56
2020-01-08,90,0,149,104,134,153,124,140,91,55
2020-01-07,99,0,157,123,135,103,124,160,94,56
2020-01-06,103,0,147,121,141,131,178,140,94,52
2020-01-05,36,6,20,24,29,19,21,20,22,2
2020-01-04,56,18,24,34,37,13,37,0,31,9
2020-01-03,101,0,120,105,132,91,130,100,85,63
2020-01-02,100,0,153,90,118,100,107,240,84,63
2020-01-01,32,0,13,26,24,14,26,0,33,25
2019-12-31,73,0,91,86,75,56,78,40,65,46
2019-12-30,74,0,116,87,122,69,89,120,75,41
