Category,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-05-18,37,56,51,119,91,92,72,82,83,52,95,0
2020-05-17,22,44,38,99,75,16,52,61,62,38,65,0
2020-05-16,43,70,60,129,98,36,84,85,105,40,99,0
2020-05-15,39,63,66,114,92,79,83,81,90,47,96,0
2020-05-14,32,61,47,78,74,56,60,61,77,57,69,0
2020-05-13,40,61,52,102,84,85,78,75,82,53,84,0
2020-05-12,35,48,41,74,74,72,62,67,64,44,71,0
2020-05-11,41,53,49,96,91,80,76,67,68,43,79,0
2020-05-10,26,41,51,190,115,26,100,64,89,29,70,0
2020-05-09,34,54,49,181,148,43,96,78,87,28,88,0
2020-05-08,51,67,67,137,147,87,92,87,94,53,97,0
2020-05-07,30,64,49,97,119,80,71,71,69,58,80,0
2020-05-06,39,58,52,99,136,71,80,72,81,36,82,0
2020-05-05,40,53,46,99,116,78,68,70,67,43,74,0
2020-05-04,31,51,45,93,134,89,67,67,78,50,82,0
2020-05-03,33,49,32,98,132,40,55,66,69,27,70,0
2020-05-02,34,56,50,110,151,56,66,79,88,34,92,0
2020-05-01,36,65,60,121,148,100,76,97,95,65,95,0
2020-04-30,34,55,48,109,130,93,74,71,75,53,84,0
2020-04-29,36,44,37,99,115,87,53,58,62,48,69,0
2020-04-28,36,61,52,98,147,76,77,77,78,52,85,0
2020-04-27,35,56,48,98,133,69,74,74,72,51,85,0
2020-04-26,28,44,35,123,149,21,65,72,76,28,77,0
2020-04-25,31,52,41,126,155,44,67,69,81,26,83,0
2020-04-24,45,56,52,121,143,76,89,82,86,47,87,0
2020-04-23,45,56,51,100,119,65,66,72,70,40,79,0
2020-04-22,39,54,45,98,124,80,71,74,73,50,78,0
2020-04-21,45,54,61,77,136,74,64,72,71,55,82,0
2020-04-20,31,52,44,82,140,73,76,67,64,49,81,0
2020-04-19,32,43,30,101,147,33,72,58,69,28,67,0
2020-04-18,32,66,40,116,160,37,73,68,80,36,83,0
