Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-09-05,29,52,58,48,52,83,48,38,28,6,49,76,35
2020-09-04,36,44,54,63,50,51,45,41,30,3,47,57,45
2020-09-03,35,39,51,56,43,28,39,35,23,3,41,47,38
2020-09-02,32,33,49,47,42,24,48,30,24,0,39,41,37
2020-09-01,31,31,45,47,43,16,38,25,25,3,36,38,34
2020-08-31,29,28,39,45,31,21,44,25,22,0,34,35,15
2020-08-30,24,28,34,24,43,43,34,27,14,0,30,39,6
2020-08-29,23,36,43,29,31,61,36,24,18,0,35,47,23
2020-08-28,28,32,48,43,45,43,38,25,26,3,38,43,33
2020-08-27,24,37,51,46,42,26,40,31,28,6,39,42,35
2020-08-26,30,29,47,45,41,23,48,28,22,10,36,39,33
2020-08-25,31,31,49,45,49,24,35,30,25,0,36,38,33
2020-08-24,26,29,40,39,39,21,38,27,27,6,36,40,18
2020-08-23,19,30,34,21,34,46,30,26,14,3,29,42,6
2020-08-22,27,42,49,27,53,77,37,42,24,3,41,57,30
2020-08-21,36,39,53,45,54,50,52,38,26,0,44,51,40
2020-08-20,30,34,49,45,42,31,45,33,22,3,39,44,35
2020-08-19,30,31,43,41,38,24,37,31,19,3,38,37,39
2020-08-18,25,33,42,40,37,18,35,34,14,10,38,37,38
2020-08-17,27,30,40,34,34,20,37,31,18,0,36,36,20
2020-08-16,22,32,36,21,43,49,28,31,19,3,31,37,7
2020-08-15,26,40,46,29,50,63,35,38,26,10,39,47,29
2020-08-14,36,39,51,44,44,47,53,35,26,6,43,48,42
2020-08-13,28,35,48,39,42,27,40,28,28,10,40,41,36
2020-08-12,28,33,50,47,43,28,40,31,24,3,39,39,39
2020-08-11,26,33,47,39,37,20,27,29,27,3,37,37,34
2020-08-10,20,20,35,27,30,13,24,29,21,0,30,29,16
2020-08-09,25,37,44,18,35,58,42,34,17,3,36,51,8
2020-08-08,33,47,49,29,47,82,39,46,34,3,46,65,32
2020-08-07,38,48,60,49,49,61,51,34,31,6,50,58,48
2020-08-06,33,41,55,49,45,24,48,39,28,3,45,48,44
2020-08-05,31,37,45,43,46,19,56,31,21,0,44,44,45
2020-08-04,29,33,49,42,44,17,37,28,18,0,42,43,38
2020-08-03,27,33,43,41,45,20,52,25,21,3,40,42,24
2020-08-02,23,41,38,23,33,39,39,32,14,0,37,47,8
2020-08-01,29,48,51,29,49,56,41,37,23,6,45,62,30
2020-07-31,33,54,51,47,45,42,47,37,29,0,49,58,46
2020-07-30,35,37,49,43,49,30,39,28,29,0,45,46,41
2020-07-29,30,40,44,42,38,17,52,31,26,0,44,43,43
2020-07-28,23,36,46,41,44,20,41,29,18,0,41,43,36
2020-07-27,32,34,46,40,43,17,35,29,24,0,38,41,22
2020-07-26,23,35,35,24,42,41,29,29,17,0,32,44,12
2020-07-25,32,55,50,34,50,64,45,37,29,0,48,73,45
2020-07-24,25,36,47,42,38,36,33,29,23,0,39,43,42
2020-07-23,30,40,54,51,40,21,43,33,30,0,42,45,49
2020-07-22,30,36,46,50,45,28,42,33,29,3,41,49,48
2020-07-21,28,33,46,47,37,19,48,31,23,0,40,44,42
2020-07-20,27,30,34,43,44,17,34,24,22,3,38,41,28
2020-07-19,19,34,38,26,46,40,34,26,14,0,31,38,13
2020-07-18,28,49,46,37,59,66,28,29,32,3,41,54,31
2020-07-17,31,39,54,48,62,28,31,34,34,3,44,44,38
2020-07-16,29,38,50,50,53,33,40,28,27,3,42,54,38
2020-07-15,25,38,47,51,47,20,37,28,27,0,38,46,36
2020-07-14,26,35,53,47,40,19,38,22,19,3,38,47,36
2020-07-13,25,31,38,46,44,17,32,24,20,0,36,42,27
2020-07-12,23,37,36,29,52,49,36,27,20,0,32,50,16
2020-07-11,28,47,43,35,55,62,35,31,26,0,40,60,28
2020-07-10,27,43,50,52,57,47,32,29,35,3,43,53,39
2020-07-09,23,30,41,50,55,22,39,26,21,3,37,42,31
2020-07-08,31,32,44,47,47,28,37,33,24,6,38,47,38
2020-07-07,26,25,39,42,34,18,31,21,18,6,32,35,26
2020-07-06,21,26,35,44,39,16,35,22,22,10,34,45,24
2020-07-05,20,33,34,26,41,39,29,31,21,0,30,45,14
2020-07-04,18,29,30,22,36,30,21,21,16,0,28,41,20
2020-07-03,25,38,39,39,50,42,30,38,27,6,36,53,33
2020-07-02,22,40,44,47,46,26,30,41,21,6,37,45,33
2020-07-01,26,33,44,44,42,30,34,32,22,3,35,41,36
2020-06-30,23,32,38,40,31,23,29,27,27,3,34,41,29
2020-06-29,23,31,36,44,45,22,29,35,23,3,34,45,26
2020-06-28,20,33,33,26,36,37,27,38,15,0,28,38,12
2020-06-27,23,38,38,31,46,61,37,45,21,0,34,50,23
2020-06-26,24,34,45,45,39,22,29,42,24,0,35,43,31
2020-06-25,25,31,42,48,51,32,34,30,26,3,36,45,32
2020-06-24,25,24,38,42,30,17,26,29,21,0,30,33,27
2020-06-23,23,31,43,46,37,20,27,31,24,3,33,40,31
2020-06-22,22,24,35,49,32,11,22,31,31,0,29,34,23
2020-06-21,15,25,28,26,31,31,24,36,11,0,25,39,11
2020-06-20,19,32,43,36,44,39,26,42,20,0,35,44,19
2020-06-19,26,38,44,48,43,26,29,40,31,3,36,43,32
2020-06-18,24,32,40,50,41,24,34,32,29,6,33,38,31
2020-06-17,25,27,38,42,43,20,25,35,30,0,32,33,30
2020-06-16,22,27,41,45,47,18,33,31,24,3,33,39,30
2020-06-15,22,25,34,42,43,11,28,33,16,0,31,35,24
2020-06-14,14,23,26,27,27,25,21,35,7,3,22,32,9
2020-06-13,17,27,36,34,37,38,27,36,16,0,27,39,17
2020-06-12,28,32,44,48,43,28,35,41,28,3,33,38,29
2020-06-11,26,28,47,49,42,15,33,27,21,3,31,36,29
2020-06-10,25,26,40,42,41,16,26,32,27,0,27,28,26
2020-06-09,20,21,35,35,34,11,33,28,26,0,27,28,23
2020-06-08,24,23,35,43,49,10,23,35,26,0,28,34,20
2020-06-07,9,14,18,18,24,16,16,19,14,0,14,18,5
2020-06-06,19,18,24,24,32,19,22,28,17,0,20,19,21
2020-06-05,21,25,40,38,34,12,24,35,22,0,28,29,33
2020-06-04,16,20,30,37,34,12,26,29,21,0,25,23,26
2020-06-03,17,18,31,39,34,9,20,32,18,3,25,25,29
2020-06-02,10,11,28,24,33,7,12,17,12,3,17,14,21
2020-06-01,8,13,23,25,27,7,8,21,9,0,17,17,14
2020-05-31,13,23,27,23,32,23,14,29,13,3,18,18,6
2020-05-30,17,28,37,30,36,26,29,37,17,0,24,36,23
2020-05-29,24,29,38,39,38,15,29,29,23,0,27,34,31
2020-05-28,19,24,37,35,40,11,30,29,20,3,25,26,28
2020-05-27,24,24,42,40,37,6,25,35,27,6,26,32,32
2020-05-26,20,25,39,38,38,12,26,37,19,3,27,29,30
2020-05-25,15,19,27,30,30,4,28,34,14,0,21,28,14
2020-05-24,14,19,28,24,34,7,25,35,10,0,20,27,7
2020-05-23,12,27,28,29,34,14,25,30,14,3,21,31,19
2020-05-22,21,28,35,42,42,14,33,35,21,3,28,36,32
2020-05-21,19,26,34,39,40,10,39,34,18,6,26,33,31
2020-05-20,20,24,37,42,35,7,34,33,15,3,26,35,32
2020-05-19,19,25,35,35,33,13,27,26,21,3,25,30,29
2020-05-18,19,25,33,35,35,7,20,28,15,0,25,31,18
2020-05-17,11,16,19,22,27,12,20,19,10,0,15,19,5
2020-05-16,19,22,32,29,37,12,35,38,14,6,23,34,22
2020-05-15,17,24,33,38,42,18,32,31,17,3,27,34,31
2020-05-14,17,20,29,32,31,10,30,28,14,0,24,27,25
2020-05-13,18,20,35,33,30,7,32,24,13,3,24,28,30
2020-05-12,14,16,31,27,28,7,22,20,14,3,22,23,24
2020-05-11,15,20,32,29,33,8,19,28,14,0,23,24,17
2020-05-10,12,15,22,18,25,9,14,17,10,0,15,18,5
2020-05-09,14,19,30,25,42,13,25,30,12,3,20,26,18
2020-05-08,19,21,36,36,44,11,27,33,14,0,25,31,29
2020-05-07,16,16,31,29,34,6,19,23,17,0,24,25,25
2020-05-06,19,20,32,32,39,11,30,29,18,3,24,26,28
2020-05-05,14,20,30,27,32,9,19,21,14,0,23,24,25
2020-05-04,17,19,30,32,31,6,22,31,13,3,23,23,17
2020-05-03,11,16,24,19,27,11,25,25,13,0,17,20,6
2020-05-02,14,20,32,24,33,12,32,28,16,0,22,25,19
2020-05-01,18,26,33,33,36,12,28,31,16,0,26,29,30
2020-04-30,13,19,29,28,29,8,23,25,19,3,24,24,25
2020-04-29,11,15,29,27,28,7,22,19,15,0,20,20,23
2020-04-28,15,22,30,31,31,9,26,23,20,0,23,24,28
2020-04-27,15,17,30,27,34,6,25,22,12,3,22,24,18
2020-04-26,10,17,19,19,38,12,26,22,14,3,17,27,6
2020-04-25,11,17,23,22,27,14,24,20,9,0,18,27,16
2020-04-24,15,25,30,34,37,8,37,32,16,0,23,27,28
2020-04-23,15,18,26,28,31,10,23,26,18,0,22,26,25
2020-04-22,15,16,29,30,34,8,30,27,17,3,22,27,26
2020-04-21,13,17,27,26,37,9,29,20,15,0,21,24,23
2020-04-20,13,17,26,31,32,9,29,22,19,0,21,23,16
2020-04-19,7,14,19,17,27,11,22,16,16,0,15,20,5
2020-04-18,12,17,27,23,30,14,25,21,14,0,19,28,18
2020-04-17,17,17,30,28,31,7,27,20,15,0,20,24,23
2020-04-16,11,19,28,29,33,9,27,24,17,0,21,25,24
2020-04-15,14,16,28,27,38,6,24,22,14,3,20,21,23
2020-04-14,12,16,26,26,26,9,36,21,13,0,20,21,23
2020-04-13,13,16,28,28,27,8,37,20,14,0,19,23,15
2020-04-12,8,14,20,18,27,10,13,14,7,0,14,20,5
2020-04-11,10,19,25,23,31,13,33,19,11,0,18,25,16
2020-04-10,17,22,28,32,33,10,37,28,18,3,23,27,26
2020-04-09,14,20,33,28,31,6,29,17,19,0,23,24,24
2020-04-08,16,18,32,27,31,6,31,21,13,0,25,24,26
2020-04-07,14,19,32,31,33,11,33,17,16,0,26,24,26
2020-04-06,15,16,24,28,39,4,32,18,14,3,24,24,16
2020-04-05,7,14,20,20,31,13,27,19,13,0,17,21,5
2020-04-04,12,17,26,21,31,17,35,20,12,0,19,26,15
2020-04-03,16,20,35,31,42,10,35,23,16,3,27,25,28
2020-04-02,13,16,30,28,34,9,28,24,16,3,25,25,24
2020-04-01,15,18,30,31,30,8,34,25,19,0,26,23,26
2020-03-31,16,19,30,26,34,11,29,17,18,3,25,23,24
2020-03-30,15,17,27,31,37,5,35,21,14,3,25,23,16
2020-03-29,10,13,19,17,22,6,19,18,14,0,16,18,4
2020-03-28,10,15,24,22,38,14,29,13,19,0,20,24,14
2020-03-27,16,20,31,29,37,6,38,24,26,0,27,27,26
2020-03-26,17,17,32,33,36,9,33,20,19,0,27,27,25
2020-03-25,16,19,34,28,46,9,35,28,21,3,29,29,29
2020-03-24,14,16,31,30,38,8,35,24,21,0,28,27,26
2020-03-23,15,17,28,29,39,6,39,28,20,0,27,28,17
2020-03-22,10,14,21,18,32,14,23,15,17,3,17,21,5
2020-03-21,10,12,24,20,33,11,40,19,13,0,22,24,15
2020-03-20,20,20,30,33,43,12,44,33,25,13,36,33,32
2020-03-19,27,25,44,44,57,16,44,32,30,6,41,39,40
2020-03-18,31,28,44,49,49,14,52,31,36,74,43,43,45
2020-03-17,37,34,47,51,57,13,55,41,30,39,50,50,50
2020-03-16,43,45,61,67,77,19,78,47,48,48,64,60,45
2020-03-15,33,76,66,51,95,99,84,74,45,29,56,69,19
2020-03-14,55,155,121,81,105,342,142,124,87,110,89,124,89
2020-03-13,92,117,112,107,109,104,130,95,100,106,110,111,118
2020-03-12,110,103,102,118,103,77,108,93,98,6,121,109,128
2020-03-11,118,103,102,123,99,55,99,98,114,81,127,110,139
2020-03-10,115,98,103,119,97,61,93,85,111,87,124,108,131
2020-03-09,116,97,94,125,87,56,89,97,104,84,120,106,89
2020-03-08,45,114,94,72,116,122,98,124,59,135,89,129,34
2020-03-07,69,160,125,88,111,211,123,138,108,126,113,152,95
