Category,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-07-28,39,56,38,103,78,68,"2,500",27,25,46
2020-07-27,30,46,35,95,72,66,"2,900",26,26,46
2020-07-26,35,31,4,65,47,45,"2,100",18,18,23
2020-07-25,70,63,8,67,74,65,"1,800",23,24,34
2020-07-24,74,44,27,77,70,56,"2,200",26,25,43
2020-07-23,39,60,35,106,71,62,"3,800",29,27,48
2020-07-22,30,58,65,106,87,60,"2,400",28,26,49
2020-07-21,57,55,58,85,86,71,"2,300",29,26,51
2020-07-20,17,44,62,95,70,58,"1,600",26,25,45
2020-07-19,48,26,12,73,56,50,"1,400",18,17,26
2020-07-18,52,42,27,86,59,60,"2,100",22,21,29
2020-07-17,70,64,31,100,78,68,"2,000",30,28,49
2020-07-16,39,60,38,91,75,76,"1,400",29,26,49
2020-07-15,26,59,69,73,73,57,"1,400",28,24,48
2020-07-14,17,56,42,85,79,62,200,27,26,46
2020-07-13,17,45,35,81,57,66,800,26,25,43
2020-07-12,48,29,4,86,74,45,100,17,17,24
2020-07-11,17,52,12,81,67,60,400,20,23,30
2020-07-10,35,66,46,100,74,58,500,25,26,41
2020-07-09,30,59,46,81,71,58,900,25,22,44
2020-07-08,30,62,54,91,74,61,700,27,26,49
2020-07-07,22,40,38,85,68,63,200,23,21,41
2020-07-06,35,49,38,94,74,61,900,23,22,39
2020-07-05,26,29,4,69,49,46,500,17,16,24
2020-07-04,13,37,4,69,56,43,100,16,14,23
2020-07-03,0,48,19,81,96,56,300,20,21,27
2020-07-02,52,59,23,96,76,76,100,28,26,46
2020-07-01,22,53,35,100,80,68,"1,200",27,25,44
2020-06-30,39,54,50,85,74,65,100,24,24,40
2020-06-29,35,56,50,76,81,59,500,25,24,44
2020-06-28,9,36,15,64,48,43,100,14,15,22
2020-06-27,35,58,8,69,76,60,200,19,23,27
2020-06-26,57,51,35,69,68,68,0,25,23,42
2020-06-25,52,57,38,97,84,67,200,26,26,43
2020-06-24,26,44,50,71,57,51,100,22,22,38
2020-06-23,61,41,54,110,67,60,100,24,24,39
2020-06-22,26,51,54,77,61,57,200,23,23,41
2020-06-21,39,27,4,90,61,40,0,18,16,26
2020-06-20,74,59,19,74,92,62,100,22,21,33
2020-06-19,43,63,27,95,85,69,0,26,25,46
2020-06-18,39,59,46,104,79,65,100,26,26,45
2020-06-17,26,61,35,94,83,64,0,24,24,44
2020-06-16,30,55,35,117,75,65,0,26,27,43
2020-06-15,22,52,42,92,82,59,300,24,27,42
2020-06-14,30,31,12,68,61,45,300,15,17,21
2020-06-13,26,46,8,73,67,51,500,20,20,29
2020-06-12,35,69,35,100,83,74,100,27,27,47
2020-06-11,22,56,35,90,86,76,100,27,25,50
2020-06-10,57,52,38,88,89,66,100,24,24,47
2020-06-09,35,50,42,68,73,68,0,24,22,44
2020-06-08,26,52,38,73,70,69,100,23,21,44
2020-06-07,13,19,12,71,55,42,0,12,15,18
2020-06-06,57,59,12,87,69,58,0,24,29,36
2020-06-05,9,52,31,81,45,70,100,26,28,47
2020-06-04,26,41,31,92,34,68,100,22,19,37
2020-06-03,4,43,35,83,35,68,300,21,20,42
2020-06-02,26,52,23,58,33,67,100,20,20,40
