Category,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-05-16,60,66,75,87,33,74,97,96,19,29,101
2020-05-15,54,63,94,71,40,58,94,100,14,32,77
2020-05-14,33,43,88,51,33,54,70,76,14,23,61
2020-05-13,58,54,50,73,38,65,78,69,8,35,68
2020-05-12,39,40,69,58,30,48,66,61,5,35,54
2020-05-11,36,47,81,64,32,57,62,74,8,42,67
2020-05-10,37,43,38,53,19,79,70,83,10,58,80
2020-05-09,55,61,50,83,23,83,94,84,14,55,67
2020-05-08,43,64,106,74,38,78,96,98,15,55,98
2020-05-07,36,41,75,49,32,54,67,65,12,42,58
2020-05-06,39,47,113,71,45,61,73,74,19,52,75
2020-05-05,33,45,100,66,28,61,71,77,7,35,67
2020-05-04,45,50,100,70,28,64,82,67,7,29,59
2020-05-03,49,36,94,66,27,51,71,64,15,35,56
2020-05-02,57,56,69,70,29,65,88,67,8,45,72
2020-05-01,58,59,125,77,38,69,95,87,12,58,68
2020-04-30,35,47,69,45,32,59,76,69,10,39,63
2020-04-29,37,39,19,64,25,47,67,69,5,61,55
2020-04-28,53,51,69,74,37,62,72,72,7,45,76
2020-04-27,48,56,94,68,34,68,70,73,19,58,60
2020-04-26,51,39,113,64,32,61,74,74,19,32,83
2020-04-25,49,53,69,80,23,66,93,90,8,48,79
2020-04-24,55,54,75,78,32,64,91,78,8,58,72
2020-04-23,45,50,119,43,35,56,81,65,25,29,70
2020-04-22,55,52,106,72,31,71,77,71,14,39,80
2020-04-21,47,44,106,69,29,61,65,67,15,68,67
2020-04-20,55,56,88,67,42,74,71,73,8,35,84
2020-04-19,28,44,63,68,33,74,70,68,17,42,72
2020-04-18,47,61,94,86,30,78,89,76,8,45,75
2020-04-17,42,57,100,77,37,77,70,79,3,48,107
2020-04-16,39,53,81,49,37,73,77,71,14,45,63
2020-04-15,52,51,125,74,34,73,72,56,20,58,85
2020-04-14,40,45,75,62,32,64,57,66,12,16,67
2020-04-13,36,48,163,66,30,73,60,62,19,35,80
2020-04-12,42,38,25,55,25,73,50,63,8,16,80
2020-04-11,42,59,63,85,31,85,81,73,17,48,91
2020-04-10,59,53,81,90,42,87,71,69,15,35,85
2020-04-09,42,50,119,52,34,79,66,61,14,48,70
2020-04-08,43,46,119,69,37,74,54,55,10,42,80
2020-04-07,40,50,125,78,46,57,61,60,15,52,59
2020-04-06,54,52,144,72,28,64,65,57,5,26,69
2020-04-05,31,38,169,80,23,61,52,61,7,35,50
2020-04-04,55,48,138,85,26,67,71,81,10,32,68
2020-04-03,49,55,150,106,44,87,83,78,14,48,80
2020-04-02,31,50,131,79,45,69,75,71,7,90,59
2020-04-01,49,52,113,95,37,106,62,70,14,42,66
2020-03-31,39,46,75,89,37,68,69,51,8,48,62
2020-03-30,41,50,69,86,38,62,63,65,8,106,58
2020-03-29,36,38,38,80,25,60,61,49,14,48,56
2020-03-28,39,52,31,100,26,69,78,71,14,61,62
2020-03-27,37,60,50,102,36,81,67,66,10,45,74
2020-03-26,36,56,25,68,32,61,58,62,20,26,57
2020-03-25,45,56,100,87,44,73,61,68,15,87,65
2020-03-24,47,51,19,78,50,78,57,60,14,77,65
2020-03-23,51,58,69,79,64,66,56,61,10,45,73
2020-03-22,37,42,63,69,55,57,44,53,24,113,45
2020-03-21,39,49,56,101,34,80,58,69,14,48,55
2020-03-20,33,61,81,119,50,97,65,63,34,58,53
2020-03-19,39,65,144,83,44,89,62,67,56,61,93
2020-03-18,42,72,81,95,44,94,58,65,58,65,86
2020-03-17,63,72,113,95,79,81,71,71,49,87,98
2020-03-16,64,85,138,117,71,110,84,92,86,81,107
2020-03-15,124,70,81,110,45,97,78,70,66,48,89
2020-03-14,113,102,119,151,46,124,95,99,107,97,124
2020-03-13,99,117,163,157,90,132,126,110,80,87,120
2020-03-12,78,102,144,99,79,112,101,102,97,187,113
2020-03-11,82,100,138,106,94,97,91,105,92,81,93
2020-03-10,71,97,138,97,72,86,93,93,81,135,98
2020-03-09,110,100,94,111,54,96,96,103,93,142,102
2020-03-08,111,91,113,127,53,108,107,111,119,129,115
2020-03-07,151,127,88,132,51,110,119,110,159,255,151
2020-03-06,88,127,131,105,67,118,133,126,100,219,128
2020-03-05,71,113,94,88,67,90,115,101,92,155,97
2020-03-04,81,109,125,105,66,92,100,115,90,126,123
2020-03-03,75,95,44,106,61,107,104,107,78,129,121
2020-03-02,101,106,113,120,63,101,109,107,64,65,122
2020-03-01,95,91,113,128,42,93,111,97,153,52,115
2020-02-29,141,119,113,130,47,113,129,99,186,87,149
2020-02-28,81,131,81,121,63,106,130,123,119,113,110
2020-02-27,67,105,88,91,53,95,107,105,98,119,96
2020-02-26,69,102,56,108,49,103,100,83,97,97,100
2020-02-25,65,94,81,98,50,89,86,85,85,94,100
2020-02-24,88,103,88,104,55,106,95,97,102,116,116
2020-02-23,113,81,69,111,44,84,87,82,175,81,125
2020-02-22,122,109,75,117,35,110,109,107,129,97,125
2020-02-21,105,114,75,105,61,96,119,117,98,129,119
2020-02-20,76,96,69,70,50,83,90,104,86,119,91
2020-02-19,72,96,56,93,58,92,87,116,95,113,88
2020-02-18,59,86,63,88,47,95,89,74,95,148,89
2020-02-17,80,85,75,100,43,91,83,79,71,45,91
2020-02-16,123,90,100,100,25,90,86,94,120,55,94
2020-02-15,76,105,113,116,27,107,97,91,115,84,134
2020-02-14,101,115,119,106,47,122,104,120,115,110,124
2020-02-13,55,93,50,86,47,109,84,109,93,84,115
2020-02-12,70,100,44,101,54,92,82,90,102,77,110
2020-02-11,70,95,106,93,53,85,83,99,90,100,99
2020-02-10,69,89,306,106,53,88,82,87,88,94,91
2020-02-09,104,71,100,103,26,95,81,92,127,42,98
2020-02-08,122,110,175,131,41,101,98,97,161,100,121
2020-02-07,84,118,100,105,65,96,109,103,108,68,127
2020-02-06,86,97,94,70,51,88,104,88,75,168,102
2020-02-05,52,92,100,98,56,94,88,85,71,168,88
2020-02-04,94,79,156,92,49,87,93,87,66,100,98
2020-02-03,80,100,100,104,60,103,93,94,100,106,110
2020-02-02,118,83,144,108,37,95,93,83,107,42,101
2020-02-01,137,110,150,128,39,105,125,97,164,90,116
2020-01-31,99,103,81,102,49,112,111,100,95,184,122
2020-01-30,61,94,144,62,57,98,101,96,107,106,104
2020-01-29,59,89,69,88,65,84,99,89,95,84,101
2020-01-28,64,82,119,93,58,92,92,98,117,84,102
2020-01-27,66,87,106,102,51,103,91,85,114,110,85
2020-01-26,83,67,100,98,28,75,84,72,102,35,80
2020-01-25,88,103,106,116,28,94,110,95,85,74,113
2020-01-24,65,94,113,101,52,89,107,80,88,65,89
2020-01-23,60,72,44,54,47,64,74,74,54,116,63
2020-01-22,125,89,63,88,202,88,94,110,71,94,74
2020-01-21,202,151,100,93,498,131,121,147,75,119,77
2020-01-20,151,109,100,94,335,106,104,119,85,39,75
2020-01-19,78,75,113,88,126,86,69,80,131,42,79
2020-01-18,164,107,106,110,115,117,109,101,117,90,107
2020-01-17,141,109,356,99,186,102,121,94,73,77,99
2020-01-16,116,108,131,74,176,95,102,92,80,135,91
2020-01-15,117,99,119,99,201,115,111,115,98,94,97
2020-01-14,89,102,138,82,203,112,99,152,73,190,80
2020-01-13,135,124,119,92,332,122,102,128,83,87,85
2020-01-12,139,87,81,98,242,99,83,97,98,45,75
2020-01-11,230,131,138,97,411,129,115,150,86,77,80
2020-01-10,96,99,119,108,89,109,107,101,88,158,75
2020-01-09,76,89,56,76,108,89,87,102,59,158,57
2020-01-08,71,83,88,92,122,98,88,83,66,74,61
2020-01-07,100,90,63,81,167,88,90,86,73,65,80
2020-01-06,184,103,106,105,180,113,102,150,88,103,78
2020-01-05,104,93,125,120,122,111,107,98,117,35,101
2020-01-04,166,131,81,121,187,121,128,112,119,87,113
2020-01-03,94,123,113,111,141,117,113,97,105,87,104
2020-01-02,110,108,106,82,171,95,97,94,95,123,100
2020-01-01,192,85,25,77,244,99,85,85,54,48,76
2019-12-31,88,108,138,117,76,114,99,91,134,110,98
2019-12-30,81,86,125,89,89,93,94,79,137,100,86
