Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
2020-01-19,49,24,25,0,47,49,33,33,38,59,31,62,8
2020-01-18,77,57,62,0,72,73,69,51,51,79,47,94,36
2020-01-17,100,126,108,0,126,102,122,108,140,112,107,145,80
2020-01-16,114,163,114,3,127,108,124,134,144,102,115,146,78
2020-01-15,125,135,123,0,126,117,130,117,111,100,117,150,85
2020-01-14,104,151,121,2,112,109,125,109,149,108,108,143,75
2020-01-13,118,182,128,2,120,101,134,108,143,113,108,147,35
2020-01-12,37,22,23,0,49,36,23,35,24,37,25,54,5
2020-01-11,48,24,34,0,49,48,39,59,34,58,35,66,26
2020-01-10,113,147,110,5,115,114,116,128,109,115,105,138,78
2020-01-09,100,166,114,7,113,101,129,126,145,115,109,140,82
2020-01-08,101,199,173,7,112,99,176,155,138,128,102,136,76
2020-01-07,120,178,129,9,103,103,120,124,128,120,97,135,73
2020-01-06,121,162,124,10,122,114,129,143,132,116,104,144,35
2020-01-05,45,43,30,0,52,58,38,37,30,53,32,67,8
2020-01-04,69,50,42,2,68,83,59,63,38,82,47,94,36
2020-01-03,113,179,105,7,126,131,117,114,119,170,103,154,88
2020-01-02,103,182,110,2,127,136,124,106,142,123,106,147,87
2020-01-01,49,49,33,2,55,77,34,48,32,72,56,77,37
2019-12-31,83,132,75,5,123,101,90,86,82,120,87,118,66
2019-12-30,89,141,75,2,110,112,104,102,90,125,93,132,38
