Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-07-23,31,34,34,22,17,23,29,36,27,37
2020-07-22,31,31,37,26,20,27,28,36,28,31
2020-07-21,32,43,42,28,21,31,28,36,28,30
2020-07-20,25,33,31,24,19,35,21,33,25,34
2020-07-19,8,19,12,12,4,3,4,18,16,15
2020-07-18,13,26,10,14,3,6,8,23,21,23
2020-07-17,23,39,27,25,19,35,21,35,29,35
2020-07-16,25,37,28,24,19,35,24,35,28,36
2020-07-15,27,27,36,25,17,31,25,34,25,35
2020-07-14,28,35,33,28,16,39,22,34,26,35
2020-07-13,27,30,37,24,20,35,21,33,25,33
2020-07-12,10,25,8,12,5,10,5,18,16,16
2020-07-11,12,31,9,14,4,6,10,22,18,23
2020-07-10,19,33,33,26,14,27,24,34,27,35
2020-07-09,25,30,34,23,16,42,20,32,24,33
2020-07-08,27,23,36,26,12,38,20,34,26,35
2020-07-07,23,21,28,22,12,23,21,30,21,30
2020-07-06,25,26,23,22,14,18,21,31,23,30
2020-07-05,11,26,7,13,4,8,6,18,16,16
2020-07-04,12,23,9,10,3,6,4,17,15,17
2020-07-03,15,28,18,16,9,21,11,23,18,23
2020-07-02,22,22,27,21,16,27,15,32,23,32
2020-07-01,26,28,28,23,17,17,20,31,24,32
2020-06-30,23,22,30,21,18,25,17,30,23,30
2020-06-29,27,23,28,20,15,20,21,31,23,33
2020-06-28,7,7,6,10,4,4,5,16,14,13
2020-06-27,11,7,11,11,4,1,6,19,16,19
2020-06-26,22,20,22,20,14,15,16,32,27,31
2020-06-25,26,19,29,21,14,14,20,32,25,31
2020-06-24,20,15,28,18,9,21,15,29,21,28
2020-06-23,25,21,27,20,12,18,16,31,23,31
2020-06-22,22,19,28,20,13,15,17,30,23,29
2020-06-21,8,10,4,8,4,0,2,14,11,11
2020-06-20,13,8,8,11,4,3,5,18,14,17
2020-06-19,22,21,24,20,13,15,21,30,22,29
2020-06-18,21,20,22,24,12,13,23,30,22,30
2020-06-17,22,10,18,22,16,27,20,30,21,29
2020-06-16,22,14,24,23,14,10,21,31,22,31
2020-06-15,21,16,27,21,13,20,24,30,20,29
2020-06-14,5,7,4,9,2,0,3,13,10,10
2020-06-13,10,14,6,9,2,1,4,16,12,15
2020-06-12,24,21,18,23,14,28,17,30,20,29
2020-06-11,25,20,28,21,13,27,17,30,21,29
2020-06-10,26,15,23,21,13,25,19,28,18,28
2020-06-09,21,10,31,18,16,24,16,27,17,26
2020-06-08,26,22,23,19,16,23,19,27,18,27
2020-06-07,5,4,2,5,1,3,2,9,6,7
2020-06-06,12,8,5,8,2,6,6,13,10,11
2020-06-05,25,17,18,15,11,20,14,24,17,23
2020-06-04,21,17,16,15,12,17,12,24,17,21
2020-06-03,15,10,17,13,10,18,13,20,15,19
2020-06-02,4,5,11,6,4,10,6,11,5,9
2020-06-01,4,12,10,7,4,6,6,9,5,8
