Category,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-07-01,58,84,33,95,51,80,78,132,56
2020-06-30,69,72,50,117,45,81,66,147,50
2020-06-29,36,79,33,79,27,82,61,100,44
2020-06-28,81,66,33,83,20,63,69,116,17
2020-06-27,42,92,17,107,20,88,71,121,44
2020-06-26,28,95,17,102,31,85,80,63,44
2020-06-25,33,90,0,86,39,91,75,116,50
2020-06-24,33,61,17,112,43,65,70,137,39
2020-06-23,42,66,50,98,55,73,72,89,67
2020-06-22,28,59,50,81,29,68,58,95,44
2020-06-21,33,79,17,119,24,93,70,100,44
2020-06-20,67,105,33,93,24,77,85,132,44
2020-06-19,53,84,67,105,35,87,76,137,28
2020-06-18,50,76,17,112,45,88,76,137,78
2020-06-17,56,80,133,112,47,99,78,105,78
2020-06-16,53,95,83,131,47,94,72,95,72
2020-06-15,14,73,83,105,55,94,80,121,50
2020-06-14,53,76,117,131,24,66,47,105,22
2020-06-13,44,83,133,112,35,91,84,121,22
2020-06-12,58,96,150,98,41,108,101,95,50
2020-06-11,61,84,67,117,63,114,98,79,50
2020-06-10,25,73,167,124,39,82,83,89,50
2020-06-09,19,70,100,93,57,92,84,95,39
2020-06-08,58,76,283,136,47,95,98,111,44
2020-06-07,11,58,300,121,47,75,56,68,17
2020-06-06,22,96,283,155,69,107,119,95,44
2020-06-05,11,79,250,117,57,90,113,163,106
2020-06-04,31,67,250,93,39,62,82,100,44
2020-06-03,33,64,167,88,53,52,89,121,67
2020-06-02,31,87,333,93,33,47,95,84,44
2020-06-01,47,77,0,43,43,35,104,95,56
2020-05-31,28,65,67,50,39,44,56,89,28
2020-05-30,44,87,233,114,49,77,109,153,44
2020-05-29,22,82,333,107,69,87,105,121,56
2020-05-28,42,73,200,81,39,84,99,105,56
2020-05-27,31,62,183,112,55,86,118,74,78
2020-05-26,42,63,300,93,43,92,93,95,56
2020-05-25,42,61,50,69,41,64,94,63,50
2020-05-24,17,75,33,95,57,82,65,84,44
2020-05-23,25,96,67,81,47,79,118,89,44
2020-05-22,22,87,17,71,63,93,124,116,67
2020-05-21,11,75,0,76,49,72,109,126,44
2020-05-20,14,67,67,88,39,91,104,147,67
2020-05-19,31,61,17,71,43,87,90,121,28
2020-05-18,11,73,50,64,43,68,87,126,56
2020-05-17,25,50,50,76,24,61,53,68,22
2020-05-16,47,90,17,105,37,73,109,126,50
2020-05-15,47,87,0,69,29,82,124,89,28
2020-05-14,17,68,33,57,20,68,90,68,61
2020-05-13,44,69,33,79,51,80,117,74,44
2020-05-12,19,62,67,83,27,74,89,79,33
2020-05-11,14,65,17,79,39,83,78,137,44
2020-05-10,11,70,50,83,33,108,61,74,39
2020-05-09,39,77,33,102,29,114,125,116,50
2020-05-08,28,94,17,100,45,96,109,153,39
2020-05-07,28,60,83,69,22,65,101,58,56
2020-05-06,39,71,50,88,47,85,97,105,67
2020-05-05,17,65,33,86,37,68,93,79,39
2020-05-04,36,67,33,88,49,73,100,137,33
2020-05-03,22,64,33,64,41,54,70,63,22
2020-05-02,31,89,17,74,35,76,93,68,39
2020-05-01,25,83,50,76,49,87,115,111,67
2020-04-30,22,60,17,74,45,75,99,105,61
2020-04-29,8,49,33,52,41,68,67,58,17
2020-04-28,22,90,50,76,47,69,101,121,44
2020-04-27,22,84,67,93,43,81,86,74,44
2020-04-26,31,60,67,143,43,66,66,79,33
2020-04-25,22,64,50,102,35,58,91,63,17
2020-04-24,53,92,67,107,45,71,101,74,22
2020-04-23,39,76,17,79,45,68,106,84,56
2020-04-22,25,73,50,71,29,82,112,142,56
2020-04-21,25,68,67,86,39,83,105,84,61
2020-04-20,42,50,33,71,41,82,78,84,33
2020-04-19,17,76,33,69,37,52,65,58,22
2020-04-18,17,72,67,62,45,80,87,116,33
2020-04-17,28,82,33,90,37,77,94,89,28
2020-04-16,31,73,33,83,29,77,82,84,17
2020-04-15,39,64,117,98,41,73,70,89,44
2020-04-14,25,72,17,88,37,70,79,79,44
2020-04-13,28,67,67,71,31,70,61,32,61
2020-04-12,31,55,0,38,31,75,36,68,11
2020-04-11,31,68,67,121,45,79,81,53,56
2020-04-10,33,76,0,110,53,87,79,105,61
2020-04-09,17,69,50,143,41,76,72,68,67
2020-04-08,33,80,50,69,57,60,65,79,50
2020-04-07,47,67,83,105,51,70,69,89,72
2020-04-06,44,61,50,93,31,75,67,89,61
2020-04-05,36,67,83,110,49,61,54,47,56
2020-04-04,19,73,67,117,53,94,61,111,56
2020-04-03,42,81,67,114,61,111,101,79,61
2020-04-02,36,78,50,126,45,82,74,84,67
2020-04-01,44,73,17,133,57,89,69,100,67
2020-03-31,50,76,33,86,39,83,79,84,94
2020-03-30,58,76,33,83,41,75,67,121,56
2020-03-29,28,62,67,60,22,63,33,68,28
2020-03-28,39,56,33,102,27,70,66,84,22
2020-03-27,25,61,50,95,39,81,78,84,50
2020-03-26,33,63,67,114,41,77,70,111,61
2020-03-25,31,47,33,110,39,65,74,105,67
2020-03-24,31,60,33,88,47,86,68,84,89
2020-03-23,17,67,67,102,43,85,59,58,83
2020-03-22,17,54,83,74,33,75,44,68,50
2020-03-21,25,59,50,95,31,92,61,63,50
2020-03-20,25,70,67,143,37,106,74,53,117
2020-03-19,22,73,83,150,35,104,79,105,61
2020-03-18,50,74,150,119,39,94,75,100,83
2020-03-17,58,70,100,174,173,98,83,74,94
2020-03-16,78,75,100,174,96,99,89,111,106
2020-03-15,161,81,200,186,55,84,81,116,56
2020-03-14,189,113,217,138,67,113,113,132,72
2020-03-13,67,102,267,117,69,129,112,95,167
2020-03-12,92,100,233,126,102,108,111,111,183
2020-03-11,81,91,100,90,102,87,96,121,172
