Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-08-11,32,30,23,44,47,35,24,29,28,31,36,28
2020-08-10,18,26,21,26,40,17,16,21,16,24,27,23
2020-08-09,23,52,26,23,71,30,14,13,31,28,37,20
2020-08-08,29,66,33,33,86,39,20,22,43,35,47,21
2020-08-07,39,56,36,54,67,58,38,43,44,43,53,44
2020-08-06,35,47,32,53,59,46,28,40,43,40,46,40
2020-08-05,35,45,31,52,60,53,27,34,39,39,45,40
2020-08-04,33,41,29,49,59,48,32,35,39,37,42,37
2020-08-03,34,47,27,52,44,49,34,37,38,36,43,39
2020-08-02,19,46,23,22,54,34,9,9,18,27,33,18
2020-08-01,23,57,28,28,62,31,15,15,34,33,41,19
2020-07-31,39,49,33,56,71,44,39,41,46,43,53,45
2020-07-30,37,42,34,55,59,49,51,45,43,40,46,41
2020-07-29,34,41,32,50,58,46,48,39,41,39,46,41
2020-07-28,36,38,28,51,53,45,44,43,40,37,44,39
2020-07-27,35,35,30,46,51,51,44,39,41,36,42,43
2020-07-26,21,33,23,12,55,26,11,9,20,24,29,18
2020-07-25,32,47,29,27,73,46,31,17,33,36,46,27
2020-07-24,27,31,23,44,54,44,32,25,40,34,42,39
2020-07-23,34,30,30,51,57,60,39,31,43,38,45,43
2020-07-22,38,36,28,52,49,48,36,35,36,37,43,41
2020-07-21,37,34,29,50,45,50,43,36,42,35,41,42
2020-07-20,37,21,27,45,55,42,32,33,34,35,41,41
2020-07-19,20,35,23,21,56,31,11,10,28,25,32,20
2020-07-18,25,46,28,31,61,37,25,13,37,32,41,25
2020-07-17,38,39,33,50,67,46,32,31,43,38,46,48
2020-07-16,37,35,31,52,67,49,39,34,39,39,47,48
2020-07-15,40,26,27,46,48,42,28,32,38,34,40,42
2020-07-14,35,29,30,48,50,36,27,31,42,35,42,43
2020-07-13,33,32,27,47,55,43,29,26,31,34,41,43
2020-07-12,21,39,23,21,68,24,12,12,21,26,35,23
2020-07-11,28,43,28,32,70,40,23,19,35,32,41,24
2020-07-10,38,39,33,50,65,42,31,31,43,38,46,48
2020-07-09,33,29,26,41,52,27,27,29,35,33,38,41
2020-07-08,36,36,29,48,54,40,26,29,38,37,43,48
2020-07-07,31,28,25,43,47,33,45,23,32,31,34,38
2020-07-06,37,31,30,45,48,28,28,24,37,34,39,44
2020-07-05,20,37,26,22,71,22,14,9,19,25,33,21
2020-07-04,21,34,25,26,63,30,28,14,28,26,35,21
2020-07-03,28,34,30,38,72,35,25,23,38,32,38,37
2020-07-02,31,33,32,48,60,43,39,28,43,36,40,43
2020-07-01,32,29,27,43,56,36,34,28,33,33,37,41
2020-06-30,30,27,27,43,56,48,31,32,37,32,36,38
2020-06-29,28,27,26,43,51,33,32,33,33,32,37,41
2020-06-28,18,32,19,19,57,26,5,9,17,23,29,18
2020-06-27,25,38,24,24,81,34,17,12,31,27,34,20
2020-06-26,27,28,26,42,50,39,31,20,38,31,36,38
2020-06-25,28,28,25,46,65,33,26,30,41,34,39,43
2020-06-24,23,25,23,37,50,28,28,24,24,28,32,34
2020-06-23,25,28,27,42,57,35,31,28,34,32,36,41
2020-06-22,28,28,23,39,48,32,26,29,30,30,33,39
2020-06-21,17,27,18,15,52,22,9,9,21,21,25,19
2020-06-20,18,31,19,23,49,29,14,5,26,24,28,20
2020-06-19,24,28,29,44,63,41,28,34,42,33,37,42
2020-06-18,28,27,29,41,55,31,30,26,46,33,35,41
2020-06-17,24,29,30,42,59,39,32,29,39,32,34,38
2020-06-16,26,26,25,43,56,38,31,25,39,33,36,40
2020-06-15,28,26,27,43,59,29,22,22,35,32,35,40
2020-06-14,14,23,17,14,50,16,3,7,20,20,23,16
2020-06-13,15,24,23,18,50,21,17,8,24,24,27,18
2020-06-12,26,26,30,41,57,33,32,30,44,33,37,41
2020-06-11,25,23,21,39,56,35,28,21,40,31,32,37
2020-06-10,22,20,20,33,52,35,19,25,36,28,29,34
2020-06-09,22,18,24,33,40,36,28,27,28,27,29,33
