Category,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index
2020-04-01,30,41,21,111,85,37,54,43
2020-03-31,29,42,19,59,86,54,53,41
2020-03-30,27,40,32,59,78,39,50,39
2020-03-29,28,17,2,34,68,30,42,29
2020-03-28,28,33,4,49,73,43,52,36
2020-03-27,24,48,28,59,85,51,56,42
2020-03-26,13,38,26,67,75,48,63,40
2020-03-25,27,40,23,93,78,55,57,44
2020-03-24,20,36,29,88,81,36,60,41
2020-03-23,16,32,29,74,70,46,51,40
2020-03-22,18,17,4,30,65,28,40,29
2020-03-21,16,27,8,46,74,46,49,30
2020-03-20,17,46,39,66,88,66,50,50
2020-03-19,32,54,44,74,89,87,52,50
2020-03-18,39,47,48,81,114,63,54,56
2020-03-17,34,71,69,114,98,64,62,63
2020-03-16,54,63,95,115,112,91,82,85
2020-03-15,122,59,7,82,114,106,77,60
2020-03-14,148,95,7,86,139,91,87,74
2020-03-13,120,96,102,155,136,109,96,96
2020-03-12,94,101,128,156,126,101,77,103
2020-03-11,64,92,135,147,94,78,83,102
2020-03-10,77,94,136,128,106,107,85,97
2020-03-09,70,91,143,117,96,78,90,99
2020-03-08,113,63,9,107,102,119,124,82
2020-03-07,154,126,12,120,124,121,144,95
2020-03-06,125,117,113,148,114,116,124,113
2020-03-05,91,99,150,143,104,72,107,104
2020-03-04,81,102,148,137,95,101,99,105
2020-03-03,81,115,171,131,101,90,91,110
2020-03-02,68,103,133,120,114,94,100,117
2020-03-01,265,81,7,118,120,121,120,83
2020-02-29,141,131,22,85,125,106,132,99
2020-02-28,148,139,155,151,102,131,116,128
2020-02-27,76,110,157,133,101,104,107,121
2020-02-26,72,96,134,116,84,99,86,109
2020-02-25,71,103,154,138,109,115,96,118
2020-02-24,70,91,160,142,98,78,99,118
2020-02-23,111,76,5,101,124,101,91,84
2020-02-22,155,125,11,108,111,128,142,100
2020-02-21,130,114,129,134,96,115,128,125
2020-02-20,103,120,152,122,109,99,94,120
2020-02-19,105,113,148,117,98,88,90,119
2020-02-18,65,99,150,126,106,78,77,112
2020-02-17,68,107,98,96,88,107,92,87
2020-02-16,93,89,6,71,80,124,112,80
2020-02-15,108,129,9,80,115,99,128,94
2020-02-14,101,130,115,119,136,76,139,116
2020-02-13,77,117,132,143,122,97,91,120
2020-02-12,65,113,142,131,96,119,97,123
2020-02-11,62,113,147,138,99,82,88,115
2020-02-10,71,105,137,121,98,101,72,107
2020-02-09,108,61,6,62,94,100,101,72
2020-02-08,157,128,19,99,126,118,142,97
2020-02-07,120,120,140,130,103,121,128,117
2020-02-06,75,107,141,128,96,113,107,113
2020-02-05,67,104,143,120,107,100,93,114
2020-02-04,74,104,159,86,89,118,88,109
2020-02-03,77,87,148,101,104,103,90,109
2020-02-02,115,63,11,60,115,99,105,76
2020-02-01,116,133,18,76,108,128,114,94
2020-01-31,147,123,123,104,107,94,112,94
2020-01-30,111,114,162,113,94,97,86,108
2020-01-29,93,106,155,117,97,119,90,123
2020-01-28,66,97,155,104,99,100,100,109
2020-01-27,67,93,152,94,99,113,88,111
2020-01-26,114,50,7,44,94,75,97,65
2020-01-25,161,110,16,51,103,118,117,83
2020-01-24,125,113,127,101,73,88,105,111
2020-01-23,78,80,135,76,68,70,79,94
2020-01-22,64,82,147,86,69,113,88,101
2020-01-21,91,86,163,101,95,88,73,103
2020-01-20,53,70,63,55,90,69,89,71
2020-01-19,105,59,8,50,67,81,99,63
2020-01-18,146,110,12,86,96,99,113,91
2020-01-17,128,92,125,104,92,103,99,105
2020-01-16,98,92,183,92,78,87,91,103
2020-01-15,86,98,190,94,102,76,90,109
2020-01-14,72,91,153,96,87,72,93,104
2020-01-13,70,86,142,83,97,79,76,102
2020-01-12,72,50,6,54,73,79,92,59
2020-01-11,101,94,9,60,95,106,97,67
2020-01-10,104,112,125,108,108,76,98,115
2020-01-09,103,103,157,111,75,90,84,98
2020-01-08,86,93,150,99,85,99,79,96
2020-01-07,66,83,132,86,100,110,69,94
2020-01-06,88,85,149,87,98,104,89,113
2020-01-05,87,65,11,48,100,73,89,72
2020-01-04,142,121,8,79,118,116,116,90
2020-01-03,107,128,87,107,110,113,107,108
2020-01-02,91,111,110,82,112,100,94,97
2020-01-01,102,66,14,41,88,113,73,69
2019-12-31,141,121,56,82,135,110,101,88
2019-12-30,79,104,109,69,91,104,93,83
