Category,Airports & Transit Centers,Bars,Beauty & Wellness,Grocery,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index
2020-07-09,50,79,60,56,107,76,71,62
2020-07-08,200,85,70,73,108,96,68,72
2020-07-07,50,91,55,51,100,56,60,47
2020-07-06,50,64,65,74,72,35,62,69
2020-07-05,0,58,44,50,80,93,56,55
2020-07-04,50,42,35,56,77,69,51,42
2020-07-03,50,64,66,57,105,73,65,62
2020-07-02,50,55,67,67,118,65,71,77
2020-07-01,50,64,72,52,118,67,67,71
2020-06-30,50,45,61,56,100,85,66,63
2020-06-29,100,91,65,63,94,96,64,71
2020-06-28,0,79,42,53,73,54,56,50
2020-06-27,50,73,62,72,100,93,66,63
2020-06-26,100,88,59,60,107,76,78,58
2020-06-25,100,70,61,72,95,70,69,73
2020-06-24,100,45,54,51,83,79,59,69
2020-06-23,100,39,65,54,98,89,68,60
2020-06-22,100,55,55,64,95,71,63,59
2020-06-21,50,48,44,67,85,86,62,44
2020-06-20,50,58,71,70,135,120,68,65
2020-06-19,50,36,71,75,113,79,72,64
2020-06-18,100,42,61,70,97,110,67,66
2020-06-17,150,36,65,56,94,74,65,65
2020-06-16,100,55,64,71,126,88,68,65
2020-06-15,100,82,67,66,93,76,66,70
2020-06-14,0,79,33,51,105,82,57,49
2020-06-13,50,82,64,69,123,74,70,71
2020-06-12,50,64,71,69,123,77,75,71
2020-06-11,100,58,69,69,104,83,70,62
2020-06-10,0,48,64,50,107,71,66,56
2020-06-09,200,67,56,53,101,69,63,49
2020-06-08,100,39,68,56,108,80,71,74
2020-06-07,100,24,37,57,87,65,50,33
2020-06-06,50,48,66,73,95,119,75,57
2020-06-05,0,91,74,56,115,75,69,72
2020-06-04,100,42,59,57,84,70,58,52
2020-06-03,0,45,61,57,101,76,60,69
2020-06-02,150,36,54,52,94,85,60,53
2020-06-01,150,39,53,59,83,56,61,45
2020-05-31,0,18,42,52,68,79,53,62
2020-05-30,50,45,63,70,96,71,63,50
2020-05-29,50,24,54,56,93,90,67,55
2020-05-28,50,36,53,54,88,83,59,52
2020-05-27,50,55,55,66,83,54,63,44
2020-05-26,0,42,59,55,99,64,63,60
2020-05-25,0,30,36,58,87,61,57,55
2020-05-24,0,45,43,59,96,62,58,43
2020-05-23,0,36,58,70,96,79,62,64
2020-05-22,0,39,56,63,107,60,68,53
2020-05-21,150,27,54,56,83,102,63,59
2020-05-20,50,21,58,66,81,65,62,47
2020-05-19,50,18,45,55,93,49,59,52
2020-05-18,150,18,52,59,104,65,62,51
2020-05-17,0,21,28,59,69,52,48,33
2020-05-16,0,18,56,56,102,85,64,51
2020-05-15,100,58,51,55,89,55,67,45
2020-05-14,50,24,38,50,63,40,56,36
2020-05-13,0,39,50,48,64,69,57,43
2020-05-12,200,33,33,41,64,45,51,22
2020-05-11,100,27,46,63,53,48,55,35
2020-05-10,0,33,29,72,69,44,50,36
2020-05-09,100,12,46,69,92,49,59,47
2020-05-08,100,33,55,56,66,63,61,41
2020-05-07,50,18,39,48,68,51,53,36
2020-05-06,200,18,45,55,78,71,56,36
2020-05-05,0,36,35,56,64,60,54,29
2020-05-04,150,33,40,56,52,39,52,44
2020-05-03,50,55,29,39,52,50,49,24
2020-05-02,0,52,44,56,94,60,61,29
