Category,Bars,Beauty & Wellness,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-07-10,41,82,92,88,88,80,80,25,78,89
2020-07-09,53,68,87,65,119,85,64,25,71,80
2020-07-08,62,78,90,75,115,98,61,25,72,88
2020-07-07,35,64,64,56,87,68,36,75,52,67
2020-07-06,41,71,80,71,117,107,68,25,66,41
2020-07-05,41,51,0,83,76,76,55,50,69,0
2020-07-04,29,57,0,76,68,83,53,100,67,68
2020-07-03,56,65,116,73,99,90,69,75,78,78
2020-07-02,53,73,114,52,114,88,61,125,72,85
2020-07-01,59,75,91,60,93,87,76,25,67,75
2020-06-30,53,71,94,61,91,63,47,50,61,72
2020-06-29,82,74,90,61,91,82,73,125,69,42
2020-06-28,74,48,0,81,70,67,49,50,72,0
2020-06-27,53,71,0,81,91,74,64,100,77,90
2020-06-26,59,71,54,76,84,69,82,100,68,74
2020-06-25,74,75,78,71,103,73,76,25,64,80
2020-06-24,35,62,64,68,68,63,61,25,60,67
2020-06-23,56,71,81,68,83,84,76,50,77,77
2020-06-22,32,63,66,55,80,80,51,25,61,36
2020-06-21,29,64,0,105,98,105,89,50,91,0
2020-06-20,38,71,0,95,83,101,105,50,100,92
2020-06-19,65,75,84,88,117,83,81,125,79,85
2020-06-18,47,78,95,52,93,95,55,50,68,84
2020-06-17,59,74,77,87,98,92,85,50,76,83
2020-06-16,47,76,93,93,95,80,86,125,81,92
2020-06-15,59,76,76,61,82,109,95,50,72,43
2020-06-14,62,49,0,79,88,88,95,50,77,0
2020-06-13,53,74,0,87,85,115,108,125,87,87
2020-06-12,56,80,84,85,116,76,105,0,83,93
2020-06-11,44,72,91,64,88,59,118,0,80,94
2020-06-10,38,64,69,0,86,83,99,25,74,80
2020-06-09,29,61,60,63,75,71,92,75,73,79
2020-06-08,44,70,78,84,96,80,112,75,78,45
2020-06-07,76,34,0,48,69,72,93,125,68,0
2020-06-06,62,68,0,67,115,82,72,125,86,94
2020-06-05,44,84,69,71,115,95,62,75,76,89
2020-06-04,65,62,56,56,71,63,64,50,60,64
2020-06-03,59,67,64,0,78,59,61,75,63,79
2020-06-02,53,60,64,43,83,63,38,100,61,69
2020-06-01,35,70,64,53,80,84,41,75,65,46
2020-05-31,68,46,0,55,85,71,43,100,67,0
2020-05-30,53,62,0,48,93,87,42,25,74,84
2020-05-29,47,61,73,75,94,71,61,75,67,81
2020-05-28,44,57,65,64,87,74,28,75,57,74
2020-05-27,50,74,82,0,81,97,35,50,64,81
2020-05-26,32,68,67,47,89,83,47,100,68,79
2020-05-25,21,60,73,80,70,72,49,75,66,34
2020-05-24,41,50,0,48,104,93,58,125,73,0
2020-05-23,26,72,0,60,83,79,35,75,72,85
2020-05-22,47,72,74,76,102,83,32,150,70,87
2020-05-21,44,66,74,95,74,81,38,25,65,81
2020-05-20,53,75,66,0,89,75,45,75,60,85
2020-05-19,32,64,53,45,74,62,49,100,59,80
2020-05-18,35,65,67,76,69,59,31,100,61,38
2020-05-17,29,32,0,39,55,55,42,0,51,0
2020-05-16,44,70,0,53,92,94,54,25,64,91
2020-05-15,53,66,140,80,78,62,55,25,64,75
2020-05-14,44,56,87,53,77,62,31,50,42,57
2020-05-13,47,61,110,0,75,90,55,25,60,79
2020-05-12,21,58,98,48,74,59,53,50,59,62
2020-05-11,29,63,83,79,69,63,42,50,55,38
2020-05-10,24,36,0,73,62,65,43,25,58,0
2020-05-09,26,60,0,89,82,58,51,50,67,75
2020-05-08,21,69,62,97,84,84,54,75,65,80
2020-05-07,32,52,64,57,56,63,34,100,54,58
2020-05-06,26,62,92,69,79,77,54,50,68,77
2020-05-05,32,56,74,64,66,47,49,50,59,71
2020-05-04,59,52,59,67,68,74,42,25,56,34
2020-05-03,47,36,0,60,73,53,43,0,57,0
2020-05-02,18,56,0,61,85,49,38,50,57,75
2020-05-01,32,63,74,79,90,76,50,50,70,79
2020-04-30,35,58,52,56,73,62,31,75,53,64
2020-04-29,38,43,49,53,55,46,23,75,47,56
2020-04-28,29,61,73,59,70,43,36,25,53,73
2020-04-27,29,71,61,56,75,72,35,75,57,35
2020-04-26,38,39,0,67,77,67,35,50,62,0
2020-04-25,35,47,0,65,69,65,46,50,63,65
2020-04-24,29,62,61,79,88,62,32,25,62,74
2020-04-23,50,63,54,57,82,58,27,25,56,70
2020-04-22,35,51,42,49,74,67,36,25,51,66
2020-04-21,47,48,57,48,59,72,35,50,46,69
2020-04-20,62,52,66,71,53,58,34,75,58,35
2020-04-19,32,36,0,41,44,54,30,125,57,0
2020-04-18,50,56,0,63,82,64,50,50,64,75
2020-04-17,44,50,54,63,49,80,45,50,61,72
2020-04-16,44,54,57,51,56,65,32,150,51,71
2020-04-15,41,56,43,0,52,51,38,50,49,63
2020-04-14,32,56,47,29,48,53,22,125,48,64
2020-04-13,32,51,43,59,53,48,39,100,51,34
2020-04-12,41,38,0,68,48,58,36,125,62,0
2020-04-11,41,58,0,97,54,60,47,50,66,78
2020-04-10,44,55,49,80,51,53,42,75,56,73
2020-04-09,38,50,49,71,61,37,30,100,58,66
2020-04-08,41,50,69,0,61,41,42,100,58,62
2020-04-07,35,53,83,48,55,59,39,125,63,74
2020-04-06,38,47,67,60,54,65,51,25,53,31
2020-04-05,38,36,0,56,50,54,47,50,58,0
2020-04-04,41,54,0,79,56,69,65,75,69,72
2020-04-03,62,58,65,93,72,66,42,50,76,77
2020-04-02,47,56,71,85,55,57,58,50,62,72
2020-04-01,41,58,66,103,67,62,42,75,72,75
2020-03-31,47,64,48,59,53,56,24,200,55,68
2020-03-30,65,67,59,80,55,78,41,125,58,32
2020-03-29,35,39,0,47,44,62,39,75,48,0
2020-03-28,38,54,0,69,50,82,57,75,53,70
2020-03-27,38,64,58,91,63,65,55,75,65,75
2020-03-26,47,64,50,81,64,65,55,125,60,75
2020-03-25,26,65,79,76,69,64,47,75,62,73
2020-03-24,26,57,59,87,58,52,35,150,59,67
2020-03-23,26,52,53,76,55,89,32,25,60,34
2020-03-22,35,32,0,59,45,51,35,25,44,0
2020-03-21,38,41,0,116,48,53,58,25,80,70
2020-03-20,50,64,51,105,55,68,66,125,89,81
2020-03-19,74,78,42,88,74,87,57,100,80,89
2020-03-18,53,78,52,95,77,77,81,150,79,86
2020-03-17,53,89,86,96,82,102,57,175,85,98
2020-03-16,94,94,74,112,110,80,86,150,94,61
2020-03-15,97,74,0,124,92,92,81,150,108,0
2020-03-14,97,105,0,140,109,80,86,125,107,121
2020-03-13,138,124,109,180,127,102,108,50,123,132
2020-03-12,118,116,85,121,108,111,74,100,100,118
2020-03-11,97,108,88,95,104,117,88,75,100,112
