Category,Airports & Transit Centers,Beauty & Wellness,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-07-08,64,69,60,35,69,87,85,0,42
2020-07-07,29,55,44,20,66,67,74,0,40
2020-07-06,25,57,48,29,74,67,76,0,37
2020-07-05,43,71,50,22,51,65,67,0,38
2020-07-04,7,63,46,17,49,46,66,0,37
2020-07-03,61,94,60,26,78,71,113,0,41
2020-07-02,36,84,58,39,79,114,93,0,47
2020-07-01,64,79,55,35,81,84,77,0,41
2020-06-30,43,66,51,20,69,68,71,0,36
2020-06-29,36,58,43,15,69,83,67,0,35
2020-06-28,25,56,46,29,52,79,61,0,34
2020-06-27,36,77,42,29,71,63,61,0,36
2020-06-26,50,64,45,23,78,90,70,0,38
2020-06-25,61,84,50,17,77,83,59,0,41
2020-06-24,29,63,38,23,56,75,44,0,34
2020-06-23,29,74,54,31,59,54,60,0,36
2020-06-22,43,54,37,24,65,68,72,0,34
2020-06-21,50,61,35,28,52,81,59,0,35
2020-06-20,43,91,43,27,69,62,77,0,43
2020-06-19,50,103,59,29,77,86,68,0,44
2020-06-18,64,77,47,35,71,84,62,0,41
2020-06-17,36,69,44,22,75,83,61,0,40
2020-06-16,43,78,52,32,71,86,61,0,41
2020-06-15,14,63,48,28,84,97,68,0,37
2020-06-14,36,62,39,13,47,76,39,0,31
2020-06-13,21,87,46,22,64,79,63,0,37
2020-06-12,50,84,52,26,68,78,51,0,43
2020-06-11,57,84,52,15,92,110,37,0,41
2020-06-10,57,68,45,15,64,56,46,0,34
2020-06-09,7,62,40,17,64,60,26,0,30
2020-06-08,14,68,34,26,72,71,34,0,33
2020-06-07,43,44,19,12,40,54,12,0,25
2020-06-06,86,95,27,37,64,81,44,0,36
2020-06-05,57,92,44,16,64,84,38,0,34
2020-06-04,50,64,34,15,64,41,30,0,33
2020-06-03,64,71,42,18,52,46,44,0,29
2020-06-02,25,70,33,15,48,32,12,0,26
2020-06-01,21,64,27,50,40,38,49,0,21
2020-05-31,14,62,23,40,65,37,44,0,20
2020-05-30,36,78,29,49,78,67,76,0,25
2020-05-29,36,70,44,68,89,105,73,0,30
2020-05-28,25,63,34,37,66,86,54,0,32
2020-05-27,36,74,37,46,72,57,79,0,38
2020-05-26,57,69,44,43,73,67,60,0,38
2020-05-25,14,53,37,46,51,78,29,0,27
2020-05-24,32,66,42,46,51,52,41,0,32
2020-05-23,50,85,35,65,71,108,96,0,36
2020-05-22,39,91,48,67,81,87,88,0,38
2020-05-21,25,78,35,70,66,49,62,0,37
2020-05-20,57,70,41,72,78,63,67,0,33
2020-05-19,14,58,33,54,56,56,51,0,34
2020-05-18,14,53,34,66,61,68,54,0,36
2020-05-17,36,48,26,36,41,62,29,0,25
2020-05-16,36,80,34,55,63,56,71,0,36
2020-05-15,43,80,42,63,81,78,85,0,34
2020-05-14,14,60,36,53,60,67,49,0,33
2020-05-13,21,64,44,64,64,63,79,0,35
2020-05-12,21,50,28,60,55,78,66,0,27
2020-05-11,43,45,33,57,65,67,45,0,29
2020-05-10,36,38,20,62,45,38,41,0,29
2020-05-09,43,72,35,87,64,71,79,0,34
2020-05-08,36,69,50,64,71,65,60,0,40
2020-05-07,14,59,34,59,64,56,50,0,32
2020-05-06,46,64,31,57,69,67,60,0,32
2020-05-05,21,59,38,50,62,63,61,0,33
2020-05-04,14,45,37,35,66,84,43,0,32
2020-05-03,7,40,24,46,48,63,45,0,24
2020-05-02,43,67,31,62,64,54,91,0,30
2020-05-01,36,70,34,61,98,78,71,0,32
2020-04-30,36,56,29,53,66,56,67,0,25
2020-04-29,36,45,26,32,57,43,34,0,24
2020-04-28,21,58,37,46,79,52,59,0,34
2020-04-27,36,53,26,46,70,40,59,0,29
2020-04-26,25,41,22,48,55,52,43,0,26
2020-04-25,36,58,22,64,63,51,76,0,25
2020-04-24,29,65,30,55,73,63,79,0,27
2020-04-23,36,53,31,51,70,52,43,0,26
2020-04-22,43,63,32,45,59,70,52,0,29
2020-04-21,68,50,28,44,60,51,39,0,28
2020-04-20,11,47,29,49,60,62,44,0,23
2020-04-19,36,48,24,55,56,56,48,0,25
2020-04-18,29,56,33,67,63,51,78,0,30
2020-04-17,14,55,37,67,63,59,83,0,29
2020-04-16,29,55,33,49,65,52,48,0,30
2020-04-15,36,52,32,50,61,52,51,0,25
2020-04-14,50,51,30,45,51,49,26,0,27
2020-04-13,36,46,31,45,58,30,41,0,25
2020-04-12,57,37,26,50,33,33,11,0,26
2020-04-11,14,66,30,56,61,57,61,0,28
2020-04-10,21,58,33,73,68,44,67,0,32
2020-04-09,29,50,30,44,52,43,44,0,27
2020-04-08,79,54,27,56,64,38,50,0,30
2020-04-07,14,60,34,50,67,56,43,0,34
2020-04-06,43,48,31,61,62,52,45,0,27
2020-04-05,50,54,22,51,43,70,29,0,28
2020-04-04,25,62,22,81,62,33,51,0,29
2020-04-03,71,76,45,69,76,68,61,0,35
2020-04-02,61,62,38,69,70,67,45,0,29
2020-04-01,46,64,30,65,62,62,51,0,32
2020-03-31,29,51,39,50,52,59,40,0,33
2020-03-30,36,53,40,80,61,81,43,0,35
2020-03-29,21,36,23,46,39,38,13,0,27
2020-03-28,7,50,31,53,60,44,45,0,30
2020-03-27,46,68,35,68,71,41,51,0,34
2020-03-26,57,62,37,47,55,56,39,0,38
2020-03-25,36,61,37,61,60,73,33,22,38
2020-03-24,64,60,40,54,54,54,33,52,35
2020-03-23,64,48,29,53,58,46,26,55,31
2020-03-22,32,44,24,35,42,38,28,39,31
2020-03-21,46,62,21,49,50,44,44,44,26
2020-03-20,36,74,32,78,65,60,62,61,37
2020-03-19,36,67,44,86,67,75,96,66,43
2020-03-18,93,78,41,66,70,40,79,66,49
2020-03-17,61,90,64,63,85,73,74,71,52
2020-03-16,100,82,87,107,95,102,79,87,66
2020-03-15,43,68,44,82,67,83,91,57,35
2020-03-14,61,107,46,110,95,106,111,71,45
2020-03-13,79,122,77,149,127,108,151,108,51
2020-03-12,125,116,71,115,124,127,99,108,52
2020-03-11,96,129,79,104,104,83,107,115,53
2020-03-10,129,102,76,89,117,97,84,113,53
2020-03-09,107,89,84,90,111,98,94,106,59
2020-03-08,43,81,52,98,95,130,104,68,48
2020-03-07,107,128,53,129,108,121,138,80,47
2020-03-06,104,128,88,110,131,113,101,118,60
2020-03-05,136,120,88,112,130,151,117,116,64
2020-03-04,139,103,80,124,134,111,109,116,55
2020-03-03,129,113,100,101,137,122,117,120,90
2020-03-02,86,103,116,105,127,127,85,108,118
2020-03-01,57,99,90,100,96,105,112,77,82
2020-02-29,96,144,110,124,116,151,165,85,94
2020-02-28,214,144,126,140,133,105,134,131,137
2020-02-27,157,122,125,99,135,119,137,121,132
2020-02-26,143,98,114,101,111,86,128,111,121
2020-02-25,121,102,113,86,119,62,95,114,122
2020-02-24,114,87,122,90,105,76,76,113,123
2020-02-23,43,80,77,76,84,100,89,71,78
2020-02-22,107,122,84,112,102,125,157,86,98
2020-02-21,107,137,136,132,125,98,135,120,140
2020-02-20,93,114,123,101,125,103,93,114,134
2020-02-19,171,103,116,109,99,89,101,119,129
2020-02-18,125,100,111,84,99,83,96,116,116
2020-02-17,129,73,97,87,81,108,82,80,104
2020-02-16,21,94,90,107,83,105,78,80,96
2020-02-15,54,124,115,133,103,97,122,84,106
2020-02-14,129,131,141,123,108,92,118,113,134
2020-02-13,114,119,136,121,106,76,87,115,137
2020-02-12,143,102,116,141,116,92,90,109,135
2020-02-11,111,111,123,87,98,100,82,115,127
2020-02-10,100,85,106,84,90,92,71,108,117
2020-02-09,21,71,77,76,65,90,77,67,79
2020-02-08,118,126,98,117,91,140,98,83,88
2020-02-07,136,133,138,127,108,103,127,117,131
2020-02-06,132,107,125,85,100,79,77,116,120
2020-02-05,86,102,125,79,100,102,91,113,125
2020-02-04,154,97,116,106,107,73,85,119,115
2020-02-03,179,91,104,110,116,94,101,121,113
2020-02-02,82,86,73,128,83,108,101,74,69
2020-02-01,111,118,85,110,99,116,117,82,86
2020-01-31,93,127,106,110,135,110,112,113,119
2020-01-30,171,105,105,114,110,75,106,119,116
2020-01-29,111,94,117,110,113,98,94,118,122
2020-01-28,100,97,127,102,91,79,79,117,120
2020-01-27,118,89,101,102,118,100,90,112,110
2020-01-26,50,60,54,71,76,84,84,66,64
2020-01-25,107,115,96,95,94,156,113,76,80
2020-01-24,132,120,110,82,107,89,88,117,111
2020-01-23,100,80,94,68,91,81,59,100,96
2020-01-22,57,88,91,74,86,84,62,110,102
