Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-07-21,69,29,60,82,62,83,74,86,80,65,77,77
2020-07-20,77,42,59,68,57,63,71,61,69,73,77,74
2020-07-19,77,50,54,54,70,49,50,63,60,57,59,0
2020-07-18,62,38,63,72,76,61,61,70,73,93,78,61
2020-07-17,62,42,58,73,62,68,72,73,80,64,72,66
2020-07-16,62,46,76,79,65,78,74,103,77,87,91,62
2020-07-15,77,79,65,76,74,63,82,76,65,82,81,73
2020-07-14,62,42,73,62,69,66,74,87,68,75,79,71
2020-07-13,54,63,69,73,59,69,77,91,73,64,82,81
2020-07-12,69,67,62,66,70,64,59,81,66,77,84,0
2020-07-11,46,33,63,73,83,63,78,88,74,82,89,67
2020-07-10,77,42,64,70,69,67,67,90,69,58,76,69
2020-07-09,54,29,50,67,74,59,67,88,62,67,74,67
2020-07-08,69,79,64,79,66,68,78,98,76,100,92,75
2020-07-07,85,75,64,57,57,54,59,72,71,49,69,59
2020-07-06,77,67,50,67,60,67,81,83,56,61,74,71
2020-07-05,69,63,52,56,69,51,57,76,65,65,62,0
2020-07-04,77,38,52,49,64,45,65,66,57,45,52,56
2020-07-03,100,58,64,68,77,64,83,87,72,73,82,70
2020-07-02,92,67,64,86,84,69,81,93,73,64,79,75
2020-07-01,115,25,60,73,64,65,76,90,76,61,79,66
2020-06-30,69,25,61,69,65,55,75,82,74,44,62,60
2020-06-29,100,29,62,64,70,60,72,101,74,85,78,73
2020-06-28,85,67,49,59,76,52,66,76,59,74,78,0
2020-06-27,92,67,59,69,80,56,65,86,69,95,84,65
2020-06-26,92,79,55,74,60,55,67,84,68,79,70,59
2020-06-25,92,8,69,61,65,58,65,80,64,82,80,70
2020-06-24,100,21,52,54,56,49,68,70,63,42,63,59
2020-06-23,92,33,57,70,62,51,76,86,66,69,74,67
2020-06-22,69,63,51,69,63,57,79,74,67,65,70,67
2020-06-21,69,25,63,76,74,61,75,80,71,81,80,0
2020-06-20,85,25,64,79,99,65,72,95,80,112,88,74
2020-06-19,123,75,57,76,72,65,71,86,69,79,79,71
2020-06-18,115,54,63,77,72,62,82,79,63,108,90,69
2020-06-17,92,29,65,70,67,58,74,82,70,73,84,72
2020-06-16,92,25,63,76,65,59,90,92,78,88,84,76
2020-06-15,77,46,69,69,67,60,82,101,78,106,92,83
2020-06-14,77,29,49,65,80,57,60,75,63,54,68,0
2020-06-13,77,54,70,59,92,55,71,85,66,73,80,77
2020-06-12,85,63,62,77,84,69,81,92,83,60,79,78
2020-06-11,115,46,71,70,73,58,89,100,68,66,86,79
2020-06-10,85,17,61,64,65,52,66,90,74,67,79,74
2020-06-09,92,17,64,55,64,46,63,77,55,59,65,65
2020-06-08,100,25,59,67,70,61,69,84,56,74,74,76
2020-06-07,62,25,46,57,65,35,62,64,60,68,76,0
2020-06-06,85,42,55,78,91,58,66,98,64,28,72,71
2020-06-05,85,58,72,72,72,59,66,96,71,24,63,69
2020-06-04,54,38,49,50,56,39,67,59,62,23,46,58
2020-06-03,85,38,58,55,35,46,69,81,69,13,54,72
2020-06-02,92,17,48,47,17,48,63,85,59,17,40,60
2020-06-01,85,38,58,63,29,54,45,72,55,22,47,80
2020-05-31,69,29,46,64,64,52,48,79,55,14,42,0
2020-05-30,85,21,63,62,87,67,77,93,57,18,54,66
2020-05-29,77,71,53,69,73,56,58,92,65,14,47,61
2020-05-28,100,33,60,59,66,52,77,73,54,14,39,61
2020-05-27,108,46,60,71,76,59,69,94,65,14,57,70
2020-05-26,92,29,69,63,77,52,78,88,68,17,48,68
2020-05-25,69,33,61,63,83,60,75,87,58,12,44,63
2020-05-24,92,46,74,63,89,55,69,90,63,9,49,0
2020-05-23,100,54,73,56,95,55,76,97,63,21,62,73
2020-05-22,62,42,67,64,85,61,79,85,75,18,53,74
2020-05-21,108,38,66,56,74,56,72,85,58,16,43,69
2020-05-20,85,50,66,69,67,52,80,93,67,12,47,76
2020-05-19,85,38,61,55,66,49,72,85,51,13,43,72
2020-05-18,92,25,62,62,65,69,77,86,64,17,48,73
2020-05-17,92,21,44,40,67,37,52,62,38,15,31,0
2020-05-16,77,29,59,67,92,50,77,102,52,16,54,73
2020-05-15,92,25,73,65,73,57,72,84,61,16,44,68
2020-05-14,92,17,54,49,63,41,55,66,39,9,34,55
2020-05-13,85,42,56,53,61,43,80,73,54,19,42,67
2020-05-12,46,8,49,40,48,35,68,69,51,17,42,60
2020-05-11,62,21,44,52,53,41,71,66,54,19,43,60
2020-05-10,77,29,35,48,72,37,88,49,40,8,32,0
2020-05-09,69,17,64,55,85,46,86,69,52,11,39,65
2020-05-08,85,33,52,52,77,51,59,81,49,13,37,65
2020-05-07,62,25,48,42,55,39,55,69,49,10,36,59
2020-05-06,69,33,50,50,61,42,79,75,54,14,38,66
2020-05-05,62,29,49,48,62,42,70,70,43,10,32,62
2020-05-04,77,33,47,46,64,46,58,73,51,16,37,63
2020-05-03,69,13,46,39,63,34,50,63,40,10,36,0
2020-05-02,54,25,39,55,78,41,72,87,48,15,50,60
2020-05-01,108,33,42,52,68,52,86,98,46,18,46,70
2020-04-30,85,33,35,50,74,34,55,61,46,14,35,54
2020-04-29,115,8,42,38,53,30,50,56,45,14,26,49
2020-04-28,92,63,42,56,66,38,74,62,55,15,37,65
2020-04-27,77,25,49,54,62,37,60,66,44,16,39,67
2020-04-26,115,29,41,55,66,40,59,71,46,22,38,0
2020-04-25,108,21,47,49,72,39,60,57,44,10,33,57
2020-04-24,100,25,45,61,64,43,75,70,51,15,36,67
2020-04-23,92,25,56,45,57,37,73,71,49,17,32,59
2020-04-22,92,13,50,49,51,37,68,63,51,6,31,68
2020-04-21,92,29,50,50,61,36,64,64,49,14,32,63
2020-04-20,77,8,55,48,64,39,65,63,48,15,38,65
2020-04-19,92,21,48,37,76,35,66,73,37,11,32,0
2020-04-18,62,13,65,59,85,44,72,71,53,14,39,67
2020-04-17,77,21,70,44,65,38,78,56,43,10,32,61
2020-04-16,92,13,59,49,69,33,54,59,56,16,40,66
2020-04-15,69,38,63,51,75,40,82,61,40,11,39,58
2020-04-14,108,25,54,49,61,40,67,59,39,15,35,59
2020-04-13,62,17,52,38,67,33,68,61,45,11,32,62
2020-04-12,77,25,49,43,28,31,56,48,32,9,23,0
2020-04-11,77,25,56,47,83,36,70,64,41,16,40,61
2020-04-10,77,29,49,51,81,38,57,67,44,19,43,66
2020-04-09,77,25,55,42,65,36,64,51,39,6,35,58
2020-04-08,85,42,54,51,61,36,69,57,40,14,35,62
2020-04-07,92,13,54,53,58,41,63,61,45,15,38,67
2020-04-06,62,38,47,42,60,36,74,57,42,15,39,61
2020-04-05,62,29,41,39,51,31,65,46,36,13,34,0
2020-04-04,85,29,48,35,78,35,71,59,40,16,38,54
2020-04-03,77,33,58,54,74,40,85,69,57,17,41,67
2020-04-02,138,42,62,41,66,44,81,53,46,17,41,66
2020-04-01,108,33,60,42,65,33,79,61,45,11,36,64
2020-03-31,77,17,54,46,61,40,74,57,51,18,41,66
2020-03-30,115,38,54,38,63,36,79,56,50,10,33,64
2020-03-29,100,54,48,36,64,26,50,44,39,16,27,0
2020-03-28,92,21,52,33,65,33,70,55,39,12,35,63
2020-03-27,100,38,58,45,68,41,81,56,41,10,38,67
2020-03-26,108,38,63,50,65,38,80,54,42,12,36,68
2020-03-25,92,54,62,44,60,50,79,63,44,21,38,71
2020-03-24,100,71,44,47,57,41,71,72,51,12,37,66
2020-03-23,92,29,53,38,59,34,87,57,37,9,31,76
2020-03-22,85,29,43,22,64,31,66,46,22,11,30,0
2020-03-21,85,17,47,27,72,28,96,44,31,19,38,65
2020-03-20,123,46,68,51,89,38,131,62,52,18,50,81
2020-03-19,108,46,82,49,81,48,117,69,61,31,54,80
2020-03-18,100,67,75,55,79,57,103,73,58,47,64,82
2020-03-17,123,71,97,72,72,68,97,87,63,76,73,96
2020-03-16,123,63,102,79,87,92,136,85,79,70,81,111
2020-03-15,123,63,87,74,105,61,135,80,84,74,74,0
2020-03-14,108,54,98,90,116,74,149,95,92,69,88,106
2020-03-13,154,96,120,115,159,112,152,97,107,73,98,122
2020-03-12,154,100,123,110,115,116,121,102,111,94,99,110
2020-03-11,131,88,120,106,108,118,113,98,106,92,96,108
2020-03-10,123,88,121,101,89,118,99,97,97,93,102,110
2020-03-09,123,104,107,110,119,122,103,91,109,106,110,117
2020-03-08,85,138,108,101,143,97,98,92,139,127,123,0
2020-03-07,115,104,116,111,126,98,82,123,104,156,130,124
2020-03-06,154,133,130,137,96,129,97,122,141,92,103,106
2020-03-05,162,67,126,124,84,117,119,109,102,88,98,111
2020-03-04,131,138,131,122,103,125,99,109,106,92,105,112
2020-03-03,115,108,128,119,107,116,121,95,114,112,102,115
2020-03-02,138,100,123,102,97,120,116,103,106,96,96,113
2020-03-01,123,125,124,112,131,81,110,98,103,127,126,0
2020-02-29,92,138,122,124,117,98,110,133,131,142,126,103
2020-02-28,131,133,105,127,97,129,113,121,113,88,103,103
2020-02-27,138,88,112,122,91,120,100,108,121,88,97,105
2020-02-26,100,71,98,115,85,112,100,102,89,82,94,102
2020-02-25,131,67,101,116,88,123,102,107,105,96,89,105
2020-02-24,162,50,110,109,87,121,104,89,79,114,105,113
2020-02-23,108,113,102,96,126,79,86,112,96,144,120,0
2020-02-22,100,75,126,116,128,109,93,113,111,147,129,122
2020-02-21,185,146,114,121,102,125,96,119,120,102,106,106
2020-02-20,108,108,117,103,76,115,102,97,86,101,100,107
2020-02-19,123,133,115,115,89,109,111,105,97,81,89,113
2020-02-18,92,83,100,108,87,105,98,98,103,90,84,97
2020-02-17,131,108,85,99,96,84,83,98,100,116,110,99
2020-02-16,62,167,104,92,127,74,85,120,98,139,107,0
2020-02-15,115,75,111,105,141,87,106,112,117,108,108,111
2020-02-14,123,146,107,124,122,115,125,113,104,101,100,104
2020-02-13,108,100,97,103,97,113,101,102,102,98,101,102
2020-02-12,115,138,109,109,124,110,93,98,103,89,97,115
2020-02-11,123,96,102,114,102,111,103,90,100,107,96,110
2020-02-10,131,63,99,92,87,107,107,99,94,98,94,103
2020-02-09,92,71,79,87,115,64,70,82,83,101,93,0
2020-02-08,92,96,113,113,128,97,127,113,117,151,117,119
2020-02-07,146,192,116,133,103,128,103,126,108,95,106,126
2020-02-06,108,83,97,100,76,116,100,96,78,64,75,108
2020-02-05,138,88,119,108,93,123,116,100,97,108,98,113
2020-02-04,92,104,112,106,92,108,96,85,92,84,97,101
2020-02-03,115,75,109,100,89,118,113,108,100,90,98,115
2020-02-02,85,171,95,88,126,76,117,100,91,117,103,0
2020-02-01,100,96,108,112,122,91,125,103,107,142,120,100
2020-01-31,115,113,101,109,93,93,89,110,118,112,108,97
2020-01-30,85,117,120,103,74,111,103,96,105,93,99,101
2020-01-29,85,104,101,107,80,115,95,97,103,104,103,100
2020-01-28,123,63,101,96,87,110,95,100,102,87,84,95
2020-01-27,115,58,85,91,84,111,85,103,109,100,93,99
2020-01-26,62,63,68,74,99,64,90,83,72,100,83,0
2020-01-25,92,96,112,107,98,86,93,100,105,110,99,102
2020-01-24,108,113,86,101,83,111,135,110,109,79,94,90
2020-01-23,85,75,94,73,59,93,70,69,87,58,73,79
2020-01-22,77,79,97,85,78,100,84,90,88,68,84,82
2020-01-21,123,96,95,91,90,112,87,87,94,87,95,91
2020-01-20,69,83,77,77,88,71,99,83,81,77,81,84
2020-01-19,85,129,69,70,108,61,88,85,73,88,81,0
2020-01-18,108,108,77,92,100,83,114,100,97,116,109,89
2020-01-17,115,63,93,90,90,97,85,87,99,72,97,104
2020-01-16,100,92,97,105,72,104,97,83,108,79,94,93
2020-01-15,108,50,102,87,93,114,112,123,97,86,93,90
2020-01-14,100,75,110,90,91,107,98,80,87,83,85,86
2020-01-13,92,88,87,88,80,108,87,93,93,88,108,93
2020-01-12,62,117,86,60,114,59,82,77,80,95,96,0
2020-01-11,77,92,72,68,89,68,66,90,83,83,94,81
2020-01-10,108,142,101,88,101,113,93,99,120,83,103,85
2020-01-09,77,96,88,85,81,97,112,101,95,90,96,85
2020-01-08,108,92,75,75,80,99,113,105,85,57,86,81
2020-01-07,77,42,92,89,93,103,93,87,91,78,93,86
2020-01-06,85,75,101,95,92,108,95,93,89,88,99,104
2020-01-05,85,104,79,83,121,64,87,85,79,112,106,0
2020-01-04,77,121,84,93,133,82,155,100,116,129,121,99
2020-01-03,123,138,81,99,114,103,120,125,119,120,110,92
