Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-08-14,45,98,72,66,81,9,127,30,80,65,50,34,73
2020-08-13,68,63,64,59,78,9,112,23,68,55,38,34,62
2020-08-12,68,80,69,65,91,7,115,27,67,67,43,55,52
2020-08-11,65,46,66,71,99,8,116,22,78,54,37,79,56
2020-08-10,55,46,52,69,72,10,82,20,71,59,50,72,73
2020-08-09,26,18,49,24,88,8,85,17,64,51,62,14,35
2020-08-08,26,59,70,36,89,8,103,18,84,65,101,45,90
2020-08-07,71,95,77,60,92,10,135,23,91,78,77,48,131
2020-08-06,45,91,78,61,78,9,126,26,78,65,59,100,65
2020-08-05,81,96,68,76,87,9,117,27,81,69,74,66,60
2020-08-04,68,79,60,56,82,6,110,24,76,65,63,59,56
2020-08-03,48,71,64,79,75,10,97,19,78,69,57,59,54
2020-08-02,23,29,47,21,76,7,83,12,67,49,47,24,65
2020-08-01,29,57,71,31,86,6,98,23,76,64,95,52,50
2020-07-31,52,107,79,74,89,7,129,29,92,81,96,86,63
2020-07-30,55,70,68,66,80,6,118,31,80,60,68,76,63
2020-07-29,94,71,65,65,84,10,127,26,93,68,74,55,54
2020-07-28,74,63,65,74,52,7,116,28,93,57,59,76,40
2020-07-27,48,66,60,66,63,8,110,28,80,62,61,55,60
2020-07-26,29,29,45,18,43,8,68,17,64,45,52,14,42
2020-07-25,32,91,76,37,55,9,116,25,84,68,102,24,73
2020-07-24,68,91,54,50,48,7,101,30,78,53,81,45,54
2020-07-23,61,96,73,59,55,9,120,26,89,63,62,59,52
2020-07-22,81,107,68,59,51,8,113,28,80,71,64,41,65
2020-07-21,84,68,65,77,51,9,108,34,86,61,68,48,54
2020-07-20,71,54,58,71,53,9,101,27,71,62,53,45,62
2020-07-19,19,43,45,15,48,5,72,21,64,47,51,14,46
2020-07-18,42,66,64,42,49,7,104,28,79,64,71,17,46
2020-07-17,65,107,78,59,61,7,122,35,89,65,63,31,54
2020-07-16,81,71,67,73,62,11,123,32,87,66,76,45,52
2020-07-15,84,75,67,63,49,10,113,29,80,56,61,52,56
2020-07-14,74,68,57,76,57,13,123,26,88,69,64,28,54
2020-07-13,65,79,55,66,52,8,110,30,79,61,79,59,58
2020-07-12,29,32,56,18,65,14,91,20,71,52,64,28,60
2020-07-11,35,57,68,45,56,9,102,30,80,67,83,34,63
2020-07-10,65,66,68,74,56,12,106,33,81,54,67,38,65
2020-07-09,81,66,61,67,54,16,111,28,81,61,80,52,63
2020-07-08,61,59,65,82,57,18,116,33,84,66,74,52,50
2020-07-07,84,48,54,43,52,13,105,31,75,57,55,38,46
2020-07-06,58,55,53,66,52,17,114,31,76,60,73,55,58
2020-07-05,26,38,48,18,43,12,69,18,66,50,44,28,40
2020-07-04,42,45,54,21,55,9,62,20,57,42,60,31,40
2020-07-03,32,73,90,68,75,18,126,40,95,72,103,34,69
