Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-07-18,0,64,85,60,44,257,23,91,82,141,45,84,3
2020-07-17,100,75,87,65,41,225,28,100,69,117,61,80,125
2020-07-16,0,82,88,58,40,196,20,97,85,107,57,82,115
2020-07-15,0,86,72,60,40,247,15,92,87,102,67,77,123
2020-07-14,0,107,76,64,39,270,20,94,101,115,57,79,110
2020-07-13,0,75,74,61,37,344,19,90,86,137,43,74,109
2020-07-12,0,64,61,55,41,316,20,81,95,115,23,73,3
2020-07-11,100,89,93,55,45,259,26,84,96,78,35,83,4
2020-07-10,0,71,79,57,43,257,28,100,91,122,37,85,112
2020-07-09,0,96,72,56,43,267,20,91,98,76,41,74,109
2020-07-08,0,61,87,79,45,294,22,98,83,80,36,84,108
2020-07-07,0,54,67,50,36,232,18,81,77,68,40,64,94
2020-07-06,100,46,64,78,39,253,22,81,93,78,48,78,109
2020-07-05,0,54,54,67,41,244,24,70,70,95,32,76,3
2020-07-04,0,79,70,40,40,250,23,62,62,112,38,74,1
2020-07-03,0,82,90,68,59,277,38,93,93,132,32,97,110
2020-07-02,100,79,89,68,59,268,22,103,92,93,41,89,138
2020-07-01,100,89,83,83,50,198,32,100,97,80,49,81,115
2020-06-30,0,86,74,72,45,176,22,90,90,63,50,79,99
2020-06-29,0,61,64,68,38,154,23,82,78,76,50,70,117
2020-06-28,0,61,57,51,38,33,32,71,71,66,37,70,2
2020-06-27,0,93,93,61,49,50,34,89,76,95,49,86,3
2020-06-26,0,100,78,66,44,67,34,99,75,73,43,83,115
2020-06-25,0,96,71,60,42,67,27,84,91,107,54,82,106
2020-06-24,100,50,56,46,39,67,23,89,76,98,46,67,88
2020-06-23,100,57,70,43,36,59,30,94,76,68,55,76,113
2020-06-22,0,46,51,45,35,66,24,76,74,73,44,71,90
2020-06-21,0,68,67,47,45,60,26,71,67,100,39,80,2
2020-06-20,0,79,81,50,49,52,27,95,84,115,38,99,1
2020-06-19,0,75,103,85,49,69,39,95,103,100,49,96,117
2020-06-18,0,89,83,64,39,81,28,90,82,73,43,83,115
2020-06-17,0,57,79,74,43,67,30,79,100,71,47,80,103
2020-06-16,0,64,77,60,44,74,31,92,90,68,51,81,111
2020-06-15,0,50,66,57,42,60,39,84,90,95,50,77,103
2020-06-14,0,71,66,55,39,48,28,82,83,93,38,73,1
2020-06-13,0,68,103,54,45,53,39,97,105,134,50,98,5
2020-06-12,0,50,93,70,45,72,30,104,102,141,64,92,124
2020-06-11,0,61,78,50,44,77,31,97,95,146,59,89,100
2020-06-10,0,50,77,73,41,70,32,80,82,146,54,79,103
2020-06-09,0,82,63,45,29,65,36,84,102,49,58,75,111
