Category,Bars,Beauty & Wellness,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-07-06,33,67,53,0,106,72,91,58,0,25,80
2020-07-05,0,61,50,0,94,62,68,58,0,16,49
2020-07-04,0,57,43,0,118,54,59,38,0,19,63
2020-07-03,0,81,70,0,106,75,93,66,100,24,105
2020-07-02,0,90,70,0,129,78,85,77,0,23,97
2020-07-01,0,90,70,0,118,78,94,62,0,28,101
2020-06-30,0,69,65,0,100,72,83,59,0,23,71
2020-06-29,67,75,68,0,141,64,81,58,50,18,74
2020-06-28,0,49,53,0,153,47,64,46,50,15,46
2020-06-27,33,88,77,0,135,64,82,80,0,21,83
2020-06-26,0,76,67,0,65,62,69,61,0,26,86
2020-06-25,0,89,72,0,100,95,103,58,0,28,89
2020-06-24,33,70,75,0,112,58,77,53,0,22,64
2020-06-23,0,65,60,0,94,73,83,59,0,27,69
2020-06-22,33,69,76,0,106,55,70,58,100,26,95
2020-06-21,0,55,64,0,94,39,74,42,0,16,49
2020-06-20,33,85,74,0,112,43,81,58,0,21,88
2020-06-19,0,119,77,0,147,60,84,80,0,22,112
2020-06-18,100,85,75,0,112,52,81,77,100,20,91
2020-06-17,0,73,70,0,124,39,95,66,0,22,64
2020-06-16,67,86,84,0,106,52,85,61,50,22,74
2020-06-15,67,81,79,0,124,38,79,65,0,26,69
2020-06-14,0,77,58,0,147,26,68,47,0,10,53
2020-06-13,0,89,68,0,71,41,81,37,50,17,64
2020-06-12,0,82,70,0,165,37,104,58,50,24,103
2020-06-11,0,65,82,0,112,41,97,54,50,20,81
2020-06-10,0,71,77,0,59,36,72,70,0,22,67
2020-06-09,0,82,66,0,118,28,89,48,50,24,72
2020-06-08,33,64,83,0,153,37,85,66,0,23,84
2020-06-07,33,51,63,0,118,22,56,15,50,19,44
2020-06-06,33,86,53,0,112,33,84,29,0,18,71
2020-06-05,33,105,69,0,124,41,87,27,0,16,117
2020-06-04,0,79,58,0,100,31,77,22,50,28,82
2020-06-03,33,89,43,0,124,32,72,25,0,19,74
2020-06-02,33,68,34,0,147,28,65,20,100,26,84
2020-06-01,0,79,61,0,141,44,78,23,0,34,108
2020-05-31,0,57,41,0,153,47,62,14,0,16,50
2020-05-30,33,74,83,0,106,68,69,66,0,20,58
2020-05-29,100,88,93,0,112,93,97,65,0,26,81
2020-05-28,0,67,75,0,118,88,90,62,50,28,64
2020-05-27,0,74,80,0,112,76,86,73,100,27,73
2020-05-26,33,62,80,0,135,87,95,51,50,29,83
2020-05-25,33,63,71,0,118,63,69,49,0,16,50
2020-05-24,67,71,76,0,124,79,72,56,0,21,39
2020-05-23,67,82,84,0,182,86,85,82,50,14,64
2020-05-22,100,74,99,0,118,102,100,84,0,20,80
2020-05-21,67,61,88,0,129,84,93,68,0,19,69
2020-05-20,33,81,97,0,124,84,85,63,150,24,88
2020-05-19,33,60,86,0,100,80,93,59,50,22,64
2020-05-18,67,73,95,0,82,82,93,66,50,15,85
2020-05-17,33,51,53,0,47,45,54,34,0,15,26
2020-05-16,0,63,105,0,94,83,98,87,0,25,72
2020-05-15,100,74,103,0,118,79,107,66,0,28,81
2020-05-14,67,77,70,0,53,51,69,48,50,22,54
2020-05-13,33,76,89,0,135,73,96,68,100,23,64
2020-05-12,33,56,84,0,94,64,79,49,0,24,51
2020-05-11,0,46,91,0,129,94,77,52,50,26,58
2020-05-10,33,51,67,0,106,79,52,41,0,16,40
2020-05-09,0,69,107,0,124,92,77,63,0,14,64
2020-05-08,33,99,117,0,65,100,91,92,0,24,79
2020-05-07,100,57,64,0,100,77,91,47,50,24,60
2020-05-06,33,62,80,0,118,71,87,54,50,23,67
2020-05-05,33,50,79,0,94,61,73,52,50,23,56
2020-05-04,33,64,88,0,112,77,78,52,100,31,77
2020-05-03,0,58,63,0,118,50,67,37,0,21,36
2020-05-02,0,82,89,0,129,75,83,58,50,17,71
2020-05-01,67,83,94,0,112,81,103,89,0,32,105
2020-04-30,67,63,77,0,94,75,74,63,0,22,65
2020-04-29,0,61,61,0,106,58,72,46,0,19,47
2020-04-28,0,62,93,0,88,82,94,49,50,27,66
2020-04-27,100,74,101,0,106,65,83,54,0,13,53
2020-04-26,0,48,76,0,100,54,70,34,0,17,39
2020-04-25,33,70,73,0,112,55,68,41,50,11,50
2020-04-24,33,85,98,0,88,77,94,48,0,22,71
2020-04-23,0,65,87,0,100,71,85,52,0,20,48
2020-04-22,33,67,97,0,112,61,87,58,0,18,57
2020-04-21,0,60,102,0,35,84,84,35,0,16,57
2020-04-20,0,88,95,0,76,82,78,70,0,16,67
2020-04-19,33,52,69,0,76,49,51,41,0,16,40
2020-04-18,0,60,97,0,94,70,70,72,0,17,60
2020-04-17,0,51,90,0,106,66,68,63,0,16,71
2020-04-16,33,80,102,0,88,96,71,80,200,21,62
2020-04-15,0,74,120,0,94,70,70,56,50,16,72
2020-04-14,67,70,84,0,100,79,58,58,50,19,57
2020-04-13,33,50,81,0,88,64,63,59,0,18,60
2020-04-12,0,46,58,0,94,60,51,20,0,15,45
2020-04-11,33,76,113,0,82,91,68,56,0,16,54
2020-04-10,0,82,102,0,118,78,68,58,0,20,68
2020-04-09,0,55,88,0,135,68,63,70,0,17,50
2020-04-08,0,71,91,0,71,81,60,52,50,15,41
2020-04-07,0,58,89,0,159,73,67,70,50,19,48
2020-04-06,0,56,74,0,76,78,66,47,0,22,53
2020-04-05,0,65,70,0,88,71,58,39,0,16,29
2020-04-04,0,61,98,0,112,70,57,75,0,24,57
2020-04-03,0,107,112,0,82,85,98,90,0,17,77
2020-04-02,33,63,115,0,124,84,65,65,50,16,62
2020-04-01,33,79,98,0,106,90,80,58,0,14,79
2020-03-31,0,75,86,0,76,75,55,67,0,12,54
2020-03-30,33,81,83,0,100,64,53,53,0,13,78
2020-03-29,0,48,68,0,59,61,51,53,0,8,40
2020-03-28,0,61,78,0,88,59,55,48,0,14,48
2020-03-27,0,57,104,0,129,82,60,58,0,14,73
2020-03-26,0,58,88,0,112,67,60,76,0,17,55
2020-03-25,0,71,91,0,171,97,57,54,0,10,66
2020-03-24,100,74,77,0,100,66,58,51,50,16,57
2020-03-23,0,51,92,0,124,80,58,54,0,19,56
2020-03-22,0,49,64,0,53,57,42,46,0,8,34
2020-03-21,0,52,95,0,106,64,50,49,0,22,47
2020-03-20,0,67,129,0,129,76,71,70,50,25,71
2020-03-19,67,58,109,0,112,88,66,61,100,22,65
2020-03-18,0,74,110,0,135,88,68,44,0,25,73
2020-03-17,0,89,123,0,106,110,93,72,100,34,81
2020-03-16,0,79,169,0,82,125,100,114,50,56,127
2020-03-15,100,67,106,0,124,67,80,67,0,25,58
2020-03-14,33,101,132,0,106,111,95,78,50,37,91
2020-03-13,33,115,148,0,241,157,134,129,100,66,117
2020-03-12,100,102,114,0,135,102,119,124,50,97,117
2020-03-11,133,96,130,0,171,115,111,146,50,131,131
2020-03-10,133,95,144,0,147,119,123,109,50,101,112
2020-03-09,0,110,120,0,194,107,89,105,50,98,115
2020-03-08,0,90,97,0,159,71,100,92,0,18,61
2020-03-07,233,112,111,0,165,98,111,94,0,48,81
2020-03-06,67,90,138,0,153,142,130,119,0,70,99
2020-03-05,100,126,164,0,135,143,119,151,50,101,137
2020-03-04,67,126,160,0,159,124,115,138,250,105,124
