Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-05-21,15,32,62,48,96,67,66,67,63,38,63
2020-05-20,15,42,61,49,82,71,66,73,54,33,60
2020-05-19,17,26,57,44,76,62,71,61,55,35,49
2020-05-18,16,35,51,42,79,60,67,64,48,35,49
2020-05-17,17,29,35,25,66,47,46,39,48,26,34
2020-05-16,17,43,58,46,98,85,78,52,59,36,62
2020-05-15,17,47,56,39,93,69,67,65,61,36,49
2020-05-14,19,35,44,32,66,50,51,56,50,31,41
2020-05-13,22,48,49,35,85,60,66,58,51,31,54
2020-05-12,15,35,44,30,66,46,51,46,47,23,45
2020-05-11,16,35,54,38,63,54,55,55,45,27,56
2020-05-10,13,21,51,30,110,44,65,48,50,26,37
2020-05-09,16,40,58,41,103,57,66,57,53,34,62
2020-05-08,17,42,61,45,89,61,76,72,56,36,49
2020-05-07,17,31,41,30,64,50,52,58,43,29,59
2020-05-06,18,41,53,40,79,58,57,66,63,29,52
2020-05-05,18,24,49,39,74,56,56,57,43,29,48
2020-05-04,16,28,42,34,62,53,60,47,45,29,48
2020-05-03,10,30,33,25,73,50,42,37,40,19,43
2020-05-02,12,34,55,50,94,51,59,52,39,23,61
2020-05-01,17,28,54,41,83,75,60,74,48,25,60
2020-04-30,15,23,48,33,90,54,55,57,39,22,49
2020-04-29,17,27,36,29,59,35,43,42,33,20,40
2020-04-28,17,38,48,43,96,54,55,59,33,28,50
2020-04-27,19,24,52,39,76,57,53,52,42,27,48
2020-04-26,11,29,44,29,80,48,51,59,48,22,38
2020-04-25,21,31,56,43,85,55,54,57,44,24,56
2020-04-24,21,43,49,43,84,58,63,63,48,28,54
2020-04-23,20,28,49,36,77,58,63,56,37,27,44
2020-04-22,16,35,45,33,86,50,58,58,41,26,47
2020-04-21,15,33,43,35,67,49,59,53,35,27,50
2020-04-20,13,36,45,36,81,61,58,58,38,25,38
2020-04-19,9,23,37,31,75,52,57,37,42,23,36
2020-04-18,8,33,47,34,80,47,70,48,50,28,55
2020-04-17,18,27,46,38,63,49,63,55,44,29,41
2020-04-16,13,42,45,38,75,54,60,51,39,28,50
2020-04-15,15,41,48,38,76,44,57,53,30,27,46
2020-04-14,12,35,46,30,76,45,65,46,32,27,46
2020-04-13,15,26,42,28,83,49,57,40,28,24,46
2020-04-12,12,25,37,24,63,37,49,39,35,21,33
2020-04-11,15,25,44,37,80,44,67,47,38,26,46
2020-04-10,15,43,53,39,85,57,67,51,44,30,45
2020-04-09,17,37,49,32,93,49,58,44,41,25,50
2020-04-08,23,40,52,33,78,56,58,52,48,29,59
2020-04-07,14,36,52,36,68,53,62,44,47,30,46
2020-04-06,16,28,48,35,71,53,69,49,40,28,54
2020-04-05,8,23,34,27,73,35,53,37,46,21,38
2020-04-04,14,31,45,32,76,47,64,41,32,25,52
2020-04-03,16,45,55,42,97,53,74,57,54,30,46
2020-04-02,16,34,48,39,79,57,69,49,46,29,54
2020-04-01,18,31,47,36,82,51,62,55,42,30,46
2020-03-31,23,24,45,38,74,44,61,50,40,30,57
2020-03-30,17,38,43,33,74,48,64,50,35,29,53
2020-03-29,16,32,32,21,67,33,54,39,44,21,30
2020-03-28,16,34,37,27,71,32,57,43,34,24,43
2020-03-27,19,30,52,36,76,44,60,50,46,31,54
2020-03-26,21,46,47,33,76,51,59,50,48,31,52
2020-03-25,21,47,52,38,81,65,69,49,55,29,46
2020-03-24,24,34,48,34,72,60,73,42,47,29,55
2020-03-23,29,33,48,27,71,46,58,55,58,27,48
2020-03-22,16,29,31,17,58,32,44,36,31,20,31
2020-03-21,13,37,39,25,86,35,60,46,39,21,61
2020-03-20,21,34,46,35,124,43,83,51,60,32,62
2020-03-19,29,37,60,41,105,67,91,55,66,35,62
2020-03-18,43,42,62,44,102,61,89,61,71,41,69
2020-03-17,45,45,74,54,109,93,97,62,62,48,75
2020-03-16,56,101,90,65,126,85,109,77,87,58,90
2020-03-15,32,100,65,49,116,68,93,71,94,34,78
2020-03-14,31,113,87,80,122,80,110,87,92,40,107
2020-03-13,71,109,108,91,144,109,119,112,112,70,102
2020-03-12,89,96,104,101,121,104,116,108,106,79,115
2020-03-11,100,87,100,114,104,101,103,116,100,78,93
2020-03-10,101,81,96,103,90,115,102,103,97,73,92
2020-03-09,100,68,98,109,96,103,104,101,97,77,107
2020-03-08,71,83,84,87,120,85,93,90,101,70,97
2020-03-07,59,118,109,101,111,99,102,106,114,73,118
2020-03-06,105,108,112,124,107,128,108,107,115,86,116
2020-03-05,127,107,99,117,99,108,99,124,124,88,104
2020-03-04,112,94,106,114,101,120,100,109,106,84,103
2020-03-03,111,79,121,114,104,116,106,104,112,94,115
2020-03-02,121,96,106,102,127,111,108,115,98,108,97
2020-03-01,77,108,89,97,104,111,95,87,120,108,113
2020-02-29,100,123,124,129,116,99,108,89,116,118,133
2020-02-28,143,131,122,115,105,126,113,131,122,125,124
2020-02-27,133,102,123,133,102,116,100,109,107,115,110
2020-02-26,111,76,108,106,102,111,90,99,94,102,98
2020-02-25,124,84,109,112,101,106,84,113,102,103,85
2020-02-24,136,80,109,113,109,119,98,112,110,110,108
2020-02-23,75,124,90,91,114,105,100,97,95,104,106
2020-02-22,100,144,112,116,112,96,95,104,116,121,123
2020-02-21,134,127,124,106,110,125,110,130,116,123,116
2020-02-20,138,114,114,117,102,102,98,109,101,115,99
2020-02-19,145,96,110,123,103,115,88,106,107,116,100
2020-02-18,138,71,105,115,101,109,97,105,97,106,102
2020-02-17,128,77,91,98,92,99,101,101,96,111,98
2020-02-16,87,79,84,89,96,92,91,100,91,109,96
2020-02-15,99,101,102,102,110,84,102,107,97,115,115
2020-02-14,131,97,121,121,133,118,120,118,114,124,120
2020-02-13,144,101,110,124,108,102,128,93,114,114,113
2020-02-12,131,113,106,102,113,125,98,112,108,108,102
2020-02-11,122,66,103,121,96,125,91,111,101,108,97
2020-02-10,120,77,98,108,106,103,98,104,106,104,93
2020-02-09,65,116,71,64,98,71,87,70,85,94,88
2020-02-08,85,113,110,114,115,108,98,109,133,115,135
2020-02-07,135,105,118,122,125,133,106,119,104,117,123
2020-02-06,122,79,104,121,88,96,93,105,117,109,97
2020-02-05,101,88,102,123,88,112,101,104,103,107,83
2020-02-04,107,74,103,114,92,108,116,104,101,100,100
2020-02-03,96,98,101,109,80,103,105,117,101,100,100
2020-02-02,59,115,78,80,125,85,94,65,99,90,91
2020-02-01,72,94,97,98,109,95,119,100,114,101,109
2020-01-31,101,139,111,122,101,107,110,118,110,109,117
2020-01-30,102,99,104,110,88,117,107,100,107,104,96
2020-01-29,101,107,103,122,88,114,102,104,105,105,106
2020-01-28,104,77,106,105,94,112,109,113,101,98,92
2020-01-27,96,75,100,117,84,110,109,114,90,97,89
2020-01-26,47,102,61,83,79,64,80,67,89,83,78
2020-01-25,64,169,88,92,90,107,109,100,95,96,115
2020-01-24,92,116,97,95,98,96,102,106,85,102,85
2020-01-23,80,103,79,84,71,76,92,96,88,82,75
2020-01-22,88,84,79,95,77,83,99,93,84,91,81
2020-01-21,93,112,98,112,93,106,100,94,100,96,93
2020-01-20,70,65,66,78,88,84,102,83,71,89,92
2020-01-19,47,104,60,66,87,65,83,67,74,79,69
2020-01-18,74,112,91,83,91,77,93,88,104,98,110
2020-01-17,102,105,95,88,98,98,92,117,114,98,92
2020-01-16,103,105,92,114,109,104,94,92,95,100,87
2020-01-15,122,141,105,126,96,99,91,101,98,103,89
2020-01-14,110,95,91,110,86,105,98,80,94,90,99
2020-01-13,112,73,93,106,83,89,91,87,87,96,105
2020-01-12,57,109,74,54,84,63,82,62,63,76,74
2020-01-11,65,116,86,63,85,75,83,82,82,68,93
2020-01-10,112,95,112,84,102,92,110,118,99,98,105
2020-01-09,116,126,96,96,89,96,102,83,91,92,94
2020-01-08,90,84,98,68,85,89,100,98,74,85,77
2020-01-07,94,99,97,85,100,84,96,109,97,86,89
2020-01-06,98,63,118,86,107,114,106,119,110,99,98
2020-01-05,67,77,93,59,102,77,86,72,90,93,99
2020-01-04,75,121,118,97,104,89,113,94,99,105,97
2020-01-03,107,95,130,95,100,99,112,109,105,104,105
2020-01-02,105,102,111,76,101,116,118,99,104,99,98
2020-01-01,66,97,75,58,85,58,83,62,58,87,74
2019-12-31,93,109,118,68,158,92,124,100,100,101,115
2019-12-30,91,93,88,68,97,81,104,106,93,93,98
