short_date,zipcode,crash_count
2020-05-23,60651,15
2019-05-30,60617,15
2019-01-19,60619,15
2019-11-16,60625,15
2019-07-15,60620,15
2020-05-23,60639,15
2019-12-17,60609,15
2019-06-17,60647,15
2019-03-29,60651,15
2019-02-09,60632,15
2019-04-09,60618,15
2019-04-09,60623,15
2019-03-17,60639,15
2020-08-22,60619,15
2019-12-17,60636,15
2019-09-21,60639,15
2020-08-16,60619,15
2019-09-19,60628,15
2019-06-14,60620,15
2019-08-24,60629,15
2019-11-12,60639,15
2020-07-10,60620,15
2019-03-18,60612,15
2019-04-03,60632,15
2019-02-08,60619,15
2020-08-06,60619,15
2019-10-31,60616,15
2020-05-26,60639,15
2019-06-14,60649,15
2019-07-15,60609,15
2019-11-11,60639,15
2019-11-26,60612,15
2020-05-15,60624,15
2020-06-06,60644,15
2020-12-11,60609,15
2020-11-13,60609,15
2019-11-12,60614,15
2019-06-30,60629,15
2019-01-12,60616,15
2021-01-15,60632,15
2019-03-08,60651,15
2020-11-25,60611,15
2019-04-03,60620,15
2019-06-24,60619,15
2020-10-04,60624,14
2019-02-02,60647,14
2019-08-30,60632,14
2019-10-13,60616,14
2019-06-27,60618,14
2019-08-02,60632,14
2019-08-02,60624,14
2019-11-16,60639,14
2020-02-12,60611,14
2019-11-19,60608,14
2020-06-26,60620,14
2020-02-06,60609,14
2020-02-06,60612,14
2020-06-26,60629,14
2020-06-26,60624,14
2020-10-09,60623,14
2020-02-06,60644,14
2020-02-07,60619,14
2019-07-04,60629,14
2020-02-07,60624,14
2019-02-20,60639,14
2019-06-10,60632,14
2020-02-09,60629,14
2020-07-10,60629,14
2020-10-07,60644,14
2020-02-10,60617,14
2020-10-07,60620,14
2019-05-11,60632,14
2020-12-23,60608,14
2020-02-12,60629,14
2019-11-21,60620,14
2020-02-13,60616,14
2020-02-13,60620,14
2020-12-23,60623,14
2019-11-20,60620,14
2019-08-02,60618,14
2019-12-17,60641,14
2020-06-22,60629,14
2019-05-08,60607,14
2020-06-20,60619,14
2020-12-26,60620,14
2020-07-15,60628,14
2019-10-11,60617,14
2019-11-12,60620,14
2020-09-27,60624,14
2019-07-11,60639,14
2019-10-11,60620,14
2020-09-28,60608,14
2020-09-28,60609,14
2019-11-12,60642,14
2019-10-11,60623,14
2019-09-15,60624,14
2019-11-12,60644,14
2020-06-20,60628,14
2019-11-12,60617,14
2019-01-12,60615,14
2019-06-17,60619,14
2021-01-17,60628,14
2020-02-28,60647,14
2019-06-05,60630,14
2020-09-24,60619,14
2020-09-24,60624,14
2019-01-16,60609,14
2019-06-05,60632,14
2020-02-28,60632,14
2020-09-25,60608,14
2019-09-09,60632,14
2019-06-04,60641,14
2021-01-23,60623,14
2019-11-06,60608,14
2019-03-17,60623,14
2020-02-26,60629,14
2020-02-26,60625,14
2019-02-01,60609,14
2019-01-24,60620,14
2019-07-03,60617,14
2019-02-01,60632,14
2020-10-02,60619,14
2021-02-12,60632,14
2019-03-13,60608,14
2021-02-12,60624,14
2019-03-25,60620,14
2019-08-02,60605,14
2020-06-21,60609,14
2019-06-11,60614,14
2019-11-05,60608,14
2019-09-14,60636,14
2019-06-19,60614,14
2020-06-21,60644,14
2019-06-04,60608,14
2020-06-22,60620,14
2019-08-22,60634,14
2019-06-22,60647,14
2019-07-11,60614,14
2019-05-09,60632,14
2021-02-12,60644,14
2020-02-21,60618,14
2019-11-12,60647,14
2020-02-20,60634,14
2020-02-20,60607,14
2019-11-13,60616,14
2019-06-11,60619,14
2019-02-01,60623,14
2020-02-19,60639,14
2019-07-11,60617,14
2019-02-23,60614,14
2020-02-19,60608,14
2020-10-10,60608,14
2019-05-10,60617,14
2020-02-18,60632,14
2020-07-16,60620,14
2019-10-17,60608,14
2019-05-15,60639,14
2020-02-05,60639,14
2019-02-14,60628,14
2019-10-31,60639,14
2020-01-02,60623,14
2019-07-29,60636,14
2019-12-09,60608,14
2019-12-09,60632,14
2019-10-26,60641,14
2020-10-31,60624,14
2019-02-13,60608,14
2021-02-05,60628,14
2019-06-08,60608,14
2019-07-05,60639,14
2019-06-25,60637,14
2020-11-14,60644,14
2019-12-11,60623,14
2019-08-10,60639,14
2019-12-11,60639,14
2019-12-28,60620,14
2020-07-01,60644,14
2020-10-30,60617,14
2020-07-19,60632,14
2019-12-07,60614,14
2019-05-29,60609,14
2019-10-25,60639,14
2019-10-31,60641,14
2020-07-19,60620,14
2019-02-14,60611,14
2019-05-21,60608,14
2020-01-06,60623,14
2019-06-19,60609,14
2019-08-16,60651,14
2019-02-13,60641,14
2020-01-03,60628,14
2019-07-02,60617,14
2019-02-13,60639,14
2019-09-13,60612,14
2019-07-02,60619,14
2019-06-24,60612,14
2019-12-28,60616,14
2020-07-02,60628,14
2019-08-11,60608,14
2019-12-15,60639,14
2019-12-13,60629,14
2020-07-05,60628,14
2020-07-03,60632,14
2019-01-28,60612,14
2020-07-03,60639,14
2020-07-03,60643,14
2019-10-30,60607,14
2019-02-10,60629,14
2019-05-25,60620,14
2019-07-06,60639,14
2020-07-04,60617,14
2019-12-20,60629,14
2019-05-26,60620,14
2019-12-19,60609,14
2019-07-02,60639,14
2019-06-07,60620,14
2019-05-25,60623,14
2019-03-21,60609,14
2019-05-23,60647,14
2019-12-13,60608,14
2019-08-26,60611,14
2020-11-14,60620,14
2020-11-14,60609,14
2019-06-07,60644,14
2019-12-12,60619,14
2020-07-06,60609,14
2020-07-05,60636,14
2019-12-23,60659,14
2019-08-15,60612,14
2020-07-03,60628,14
2019-12-13,60619,14
2020-11-06,60620,14
2019-01-16,60647,14
2021-02-04,60623,14
2019-01-28,60639,14
2019-06-07,60628,14
2021-02-01,60619,14
2019-12-05,60617,14
2020-07-26,60624,14
2019-08-09,60608,14
2021-01-16,60620,14
2019-05-15,60612,14
2020-10-14,60639,14
2019-10-18,60612,14
2019-08-06,60612,14
2020-11-24,60609,14
2020-07-25,60649,14
2020-11-24,60608,14
2020-12-11,60623,14
2020-01-25,60639,14
2020-07-25,60644,14
2020-07-25,60639,14
2019-09-11,60632,14
2020-10-17,60609,14
2019-05-31,60644,14
2019-11-01,60623,14
2019-03-23,60616,14
2020-11-24,60612,14
2020-10-14,60609,14
2019-11-26,60614,14
2019-03-14,60620,14
2020-10-10,60620,14
2020-07-10,60617,14
2019-11-03,60644,14
2019-01-11,60639,14
2019-11-23,60620,14
2019-02-20,60607,14
2019-02-04,60620,14
2020-06-27,60620,14
2020-01-31,60609,14
2019-01-29,60620,14
2019-08-05,60620,14
2020-11-25,60632,14
2020-07-17,60618,14
2019-05-14,60608,14
2020-01-31,60632,14
2020-01-31,60620,14
2020-01-21,60651,14
2020-01-21,60632,14
2020-12-19,60620,14
2019-05-19,60644,14
2020-10-23,60639,14
2020-01-13,60608,14
2019-05-29,60641,14
2019-08-17,60632,14
2020-10-24,60624,14
2019-06-08,60639,14
2019-09-13,60620,14
2020-10-25,60632,14
2020-06-29,60644,14
2020-10-25,60639,14
2020-01-10,60632,14
2020-10-26,60608,14
2020-01-10,60609,14
2019-05-29,60629,14
2020-10-26,60624,14
2019-10-25,60620,14
2020-10-23,60629,14
2020-06-29,60620,14
2020-07-25,60629,14
2019-06-07,60608,14
2021-03-03,60619,14
2019-11-30,60617,14
2020-07-18,60629,14
2020-10-20,60619,14
2019-11-01,60608,14
2019-08-25,60629,14
2020-06-28,60624,14
2020-01-17,60609,14
2020-06-29,60609,14
2020-12-12,60620,14
2019-05-18,60614,14
2020-01-16,60639,14
2019-07-05,60617,14
2019-05-18,60618,14
2019-12-02,60623,14
2019-01-15,60639,14
2020-02-29,60617,14
2020-02-14,60615,14
2019-07-29,60632,14
